time,delta0,delta1,delta2,delta3,delta4
721,0,-3,5,1,-3
722,0,-3,5,1,-3
723,0,-3,5,1,-3
724,-1,-4,7,4,2
725,-1,-4,7,4,2
726,-1,-4,7,4,2
727,-1,-2,4,2,0
728,-1,-2,4,2,0
729,-1,-2,4,2,0
730,4,-5,8,8,2
731,4,-5,8,8,2
732,4,-5,8,8,2
733,1,-1,9,11,13
734,1,-1,9,11,13
735,1,-1,9,11,13
736,6,3,8,13,16
737,6,3,8,13,16
738,6,3,8,13,16
739,8,4,18,27,25
740,8,4,18,27,25
741,8,4,18,27,25
742,9,10,18,32,46
743,9,10,18,32,46
744,9,10,18,32,46
745,6,7,19,52,74
746,6,7,19,52,74
747,6,7,19,52,74
748,10,9,24,66,77
749,10,9,24,66,77
750,10,9,24,66,77
751,13,11,28,75,79
752,13,11,28,75,79
753,13,11,28,75,79
754,9,12,25,82,65
755,9,12,25,82,65
756,9,12,25,82,65
757,10,9,30,97,63
758,10,9,30,97,63
759,10,9,30,97,63
760,11,8,37,112,50
761,11,8,37,112,50
762,11,8,37,112,50
763,11,8,39,113,55
764,11,8,39,113,55
765,11,8,39,113,55
766,11,9,49,108,32
767,11,9,49,108,32
768,11,9,49,108,32
769,10,4,73,103,27
770,10,4,73,103,27
771,10,4,73,103,27
772,10,15,78,82,30
773,10,15,78,82,30
774,10,15,78,82,30
775,14,17,85,58,26
776,14,17,85,58,26
777,14,17,85,58,26
778,14,17,76,57,29
779,14,17,76,57,29
780,14,17,58,57,29
781,13,32,40,27,20
782,24,38,38,49,38
783,24,32,38,42,33
784,24,31,38,42,33
785,13,23,30,27,21
786,11,19,28,20,21
787,11,19,28,20,21
788,8,10,23,19,16
789,8,10,23,16,14
790,8,10,23,16,14
791,8,5,21,12,9
792,8,5,21,12,9
793,8,5,21,12,9
794,8,6,17,13,8
795,8,6,17,13,8
