time,delta0,delta1,delta2,delta3,delta4
782,12,9,20,14,16
783,12,11,20,14,17
784,12,11,20,14,17
785,12,11,17,15,12
786,10,11,17,15,12
787,10,11,17,15,12
788,10,7,16,10,14
789,12,7,16,10,13
790,12,7,16,10,13
791,12,9,17,14,13
792,14,11,17,14,14
793,14,11,17,14,14
794,16,9,18,14,14
795,16,9,19,14,15
796,16,9,19,14,15
797,15,10,19,14,15
798,15,12,21,14,16
799,15,12,21,14,16
800,18,11,22,16,18
801,19,11,24,22,21
802,19,11,24,22,21
803,22,15,27,24,24
804,24,17,29,32,36
805,24,17,29,32,36
806,24,17,30,33,41
807,25,17,29,47,47
808,25,17,29,47,47
809,25,18,29,52,56
810,29,18,33,53,60
811,29,18,33,53,64
812,29,21,38,53,68
813,31,21,38,65,77
814,31,21,38,66,82
815,35,21,39,66,84
816,35,22,40,79,105
817,35,26,40,82,107
818,35,26,40,92,115
819,35,26,42,96,114
820,35,26,42,96,114
821,35,25,42,96,108
822,34,25,44,109,108
823,34,25,44,125,108
824,34,24,48,127,106
825,35,24,49,139,100
826,35,24,49,139,94
827,32,23,52,140,83
828,32,23,52,141,81
829,32,23,52,141,81
830,34,25,58,128,64
831,38,25,64,128,64
832,38,25,64,128,64
833,38,25,68,122,62
834,38,25,69,122,62
835,38,29,69,122,62
836,38,29,76,115,63
837,38,29,80,111,63
838,38,29,89,111,63
839,38,29,92,97,61
840,38,30,95,94,58
841,38,30,95,89,58
842,39,30,88,77,58
843,40,34,87,74,62
844,40,37,85,73,62
845,40,37,75,70,61
846,40,37,71,67,59
847,40,37,69,67,59
848,38,33,55,58,46
849,38,32,52,55,45
850,38,26,42,47,39
851,25,21,32,33,32
852,24,19,32,29,27
853,24,17,32,29,27
854,20,15,31,25,22
855,20,15,25,25,22
856,20,15,25,25,22
857,13,9,20,15,16
858,13,9,20,15,16
859,13,9,20,15,16
860,14,10,25,20,16
861,14,10,21,19,16
862,14,10,21,19,16
863,14,12,21,15,14
864,13,12,20,15,14
865,13,12,20,15,14
866,9,9,18,15,12
867,9,9,18,15,12
868,9,9,18,15,12
869,13,7,17,13,13
870,12,7,17,13,13
871,12,7,17,13,13
