delta0,delta1,delta2,delta3,delta4
9,9,19,5,8
9,9,19,5,8
9,9,19,5,8
11,9,14,9,9
11,9,14,9,9
11,9,14,9,9
11,12,14,8,5
11,12,14,8,5
11,12,14,8,5
12,8,14,6,10
12,8,14,6,10
12,8,14,6,10
8,6,9,7,8
8,6,9,7,8
8,6,9,7,8
11,14,15,10,12
11,15,15,10,12
11,15,15,10,12
6,8,10,12,13
6,8,10,12,13
6,8,10,12,13
14,13,13,14,18
14,13,13,14,18
14,13,13,14,18
10,11,12,16,20
10,11,12,16,20
10,11,13,16,20
14,12,18,18,21
14,12,18,18,21
14,12,18,18,21
15,16,16,21,23
15,16,16,21,23
15,16,16,21,23
19,16,18,23,33
19,16,18,23,33
19,16,18,23,33
20,16,21,34,41
20,16,21,35,44
20,16,21,35,44
20,18,22,41,50
20,18,22,41,50
20,18,22,41,50
27,20,29,44,54
27,20,29,44,54
27,20,29,44,54
25,18,30,48,70
25,18,30,48,73
25,18,30,48,73
28,22,31,59,83
28,22,31,59,87
28,22,31,59,87
29,22,34,67,101
29,22,34,74,103
29,22,34,74,103
29,22,31,77,100
29,22,31,77,100
34,33,31,77,100
34,33,38,86,103
31,24,38,86,103
31,24,38,86,103
31,24,32,89,98
31,24,32,89,98
31,24,32,96,98
29,21,37,105,95
29,21,37,113,95
29,21,37,113,95
29,21,41,116,89
29,21,43,116,89
29,21,43,119,89
33,21,48,123,69
32,21,49,123,69
32,21,49,123,69
31,23,56,127,58
31,23,61,127,58
31,23,61,127,58
28,21,70,118,52
28,21,74,118,52
28,21,88,118,52
28,22,93,111,56
28,22,98,109,56
28,22,106,109,56
32,26,111,92,54
32,26,115,92,54
32,26,115,92,54
36,32,108,78,59
39,35,106,78,59
39,35,102,78,59
38,39,82,65,49
38,39,75,65,49
38,39,69,59,49
38,39,55,52,47
38,39,53,52,47
38,34,53,52,47
29,20,39,32,31
28,19,34,32,30
28,19,34,32,30
15,9,25,20,17
15,9,25,20,17
15,9,25,20,17
12,7,19,13,12
12,7,19,13,12
12,7,19,13,12
9,9,13,14,14
9,9,13,14,14
9,9,13,14,14
5,3,10,7,9
5,3,10,7,9
5,3,10,7,9
