time,delta0,delta1,delta2,delta3,delta4
35,3,3,1,8,0
36,3,3,1,8,0
37,3,3,1,8,0
38,5,3,6,6,3
39,5,3,6,6,3
40,5,3,6,6,3
41,11,5,15,11,7
42,11,5,15,11,7
43,11,5,15,11,7
44,9,8,13,13,7
45,9,8,13,13,7
46,9,8,13,13,7
47,8,8,21,17,11
48,8,8,21,17,11
49,8,8,21,17,11
50,15,17,25,24,14
51,15,17,25,24,14
52,15,17,25,24,14
53,15,18,26,32,22
54,15,18,26,32,22
55,15,18,26,32,22
56,22,27,37,38,25
57,22,27,37,38,25
58,22,27,37,38,25
59,19,30,45,42,30
60,20,30,52,44,30
61,20,30,52,44,30
62,20,24,70,70,33
63,19,22,70,76,33
64,19,22,70,76,33
65,19,19,62,102,42
66,19,19,52,102,42
67,19,19,52,102,42
68,19,19,44,99,47
69,19,19,43,99,47
70,19,19,43,98,47
71,16,17,36,83,65
72,14,16,30,73,65
73,14,16,30,67,65
74,14,15,28,47,60
75,12,13,25,34,37
76,12,13,25,34,37
77,7,6,15,18,17
78,6,4,10,16,9
79,6,4,10,16,9
80,5,5,4,11,7
81,5,5,4,11,7
82,5,5,4,11,7
83,2,2,3,8,-2
84,2,2,3,8,-2
85,2,2,3,8,-2
86,2,4,2,8,6
87,2,4,2,8,6
88,2,4,2,8,6
