time,delta0,delta1,delta2,delta3,delta4
571,10,9,11,8,4
572,10,9,11,8,4
573,10,10,11,14,11
574,6,10,11,12,11
575,6,10,11,12,11
576,6,9,11,10,11
577,1,6,9,10,11
578,1,6,9,10,11
579,1,6,9,12,12
580,8,8,9,13,12
581,8,8,9,13,12
582,8,11,9,11,14
583,3,11,7,11,12
584,3,11,7,11,12
585,3,11,7,11,12
586,5,8,9,11,12
587,5,8,9,11,12
588,5,8,6,13,14
589,6,9,6,13,11
590,6,9,6,13,11
591,6,9,9,15,11
592,9,12,12,14,15
593,9,12,12,14,15
594,9,16,11,14,13
595,6,8,11,14,13
596,6,8,11,14,13
597,6,8,12,15,18
598,11,10,13,15,19
599,11,10,13,15,19
600,12,12,13,16,20
601,10,12,13,24,20
602,10,12,13,24,20
603,10,13,13,26,20
604,11,16,14,26,24
605,11,16,14,26,24
606,11,14,14,33,30
607,13,14,15,33,37
608,13,14,15,33,37
609,13,15,15,40,37
610,15,18,25,40,49
611,16,18,25,40,49
612,16,18,25,50,54
613,21,20,25,55,69
614,21,20,25,55,70
615,21,20,29,60,79
616,26,26,30,64,92
617,26,26,30,64,96
618,26,24,30,69,102
619,29,24,32,76,114
620,29,24,32,76,114
621,29,24,34,83,116
622,29,24,32,89,120
623,24,18,32,90,120
624,24,18,32,94,120
625,26,19,38,111,127
626,26,19,38,123,127
627,26,19,38,124,110
628,26,21,40,137,105
629,26,21,40,144,99
630,26,18,42,151,87
631,25,18,45,156,85
632,25,18,45,156,76
633,25,18,45,163,70
634,29,18,54,167,68
635,29,18,55,167,68
636,29,18,63,171,60
637,29,18,63,175,60
638,26,18,71,179,60
639,26,18,72,186,61
640,26,18,77,186,61
641,26,18,84,186,61
642,26,18,91,185,59
643,25,21,112,179,59
644,27,21,124,179,59
645,27,21,133,156,54
646,32,25,153,146,54
647,32,25,172,138,54
648,33,28,175,113,62
649,30,28,191,113,62
650,30,28,191,107,62
651,30,32,169,89,62
652,35,37,159,85,63
653,35,37,124,85,63
654,35,37,88,69,54
655,37,40,74,69,54
656,37,40,64,69,54
657,37,40,54,52,44
658,37,40,53,52,44
659,30,36,51,52,44
660,23,24,34,31,28
661,16,23,34,31,25
662,13,18,30,31,25
663,13,10,22,18,15
664,16,10,21,18,15
665,16,10,21,18,15
666,13,5,17,13,12
667,7,5,14,13,12
668,7,5,14,13,12
669,7,1,14,11,9
670,9,1,15,11,9
671,9,1,15,11,9
672,9,5,15,8,4
673,8,5,15,8,4
674,8,5,15,8,4
