delta0,delta1,delta2,delta3,delta4
-3,-2,1,-2,-6
-4,-2,1,-2,-6
-4,-2,1,-2,-6
-3,-5,1,-2,-6
-3,-5,1,-2,-6
-3,-5,1,-2,-6
-5,1,-3,-5,-6
-4,1,-3,-5,-6
-4,1,-3,-5,-6
-4,2,-3,0,-3
-5,2,-3,0,-3
-5,2,-3,0,-3
-3,-1,5,2,0
-3,-1,5,2,0
-3,-1,5,2,0
4,2,6,6,1
4,2,6,6,1
4,2,6,6,1
6,7,15,17,8
7,7,15,17,8
7,7,15,17,8
13,14,22,23,22
13,14,22,24,22
13,14,22,24,22
18,22,26,31,30
18,22,26,31,30
18,22,26,31,30
20,26,34,35,29
20,26,34,35,29
20,26,34,35,29
20,32,49,49,36
20,35,49,49,36
20,35,49,49,36
23,37,65,60,40
23,37,65,60,40
23,37,65,60,40
29,36,79,67,51
29,36,84,67,51
29,36,89,67,51
30,36,114,77,53
30,36,115,77,53
30,36,115,77,53
30,36,130,84,52
30,36,135,84,52
30,36,135,84,52
23,30,151,97,47
23,30,155,102,47
23,30,158,102,47
20,31,161,129,44
20,31,161,132,44
20,31,161,144,44
22,20,160,166,48
22,20,143,174,48
22,20,128,180,48
16,19,126,211,48
16,19,107,213,48
16,19,97,213,48
18,22,92,223,59
18,22,79,226,59
18,22,77,226,59
14,6,62,226,60
14,4,52,209,77
14,4,52,209,77
14,4,51,209,80
14,4,45,201,92
14,4,45,201,92
14,4,45,200,96
14,4,41,189,109
14,6,41,179,109
10,6,35,179,113
13,10,32,141,123
13,10,32,123,123
13,10,32,118,123
15,11,26,84,122
15,11,26,82,122
15,11,26,72,122
13,3,26,47,81
13,3,26,47,81
13,3,26,47,81
13,3,23,32,54
13,5,23,32,54
12,5,23,32,42
0,-3,8,7,7
0,-3,8,7,7
0,-3,7,5,5
-6,-8,-1,-3,-3
