time,delta0,delta1,delta2,delta3,delta4
796,8,6,17,13,8
797,8,4,17,12,10
798,7,4,19,12,8
799,7,4,19,12,8
800,6,9,19,14,8
801,6,9,19,14,13
802,6,9,19,14,13
803,8,7,23,16,13
804,8,7,22,16,13
805,8,7,22,16,13
806,8,5,22,16,15
807,7,5,22,16,15
808,7,5,22,16,15
809,7,10,21,18,18
810,10,10,21,19,19
811,10,10,21,19,19
812,10,13,22,23,22
813,10,13,22,26,25
814,10,13,22,26,25
815,10,17,25,26,25
816,16,17,25,37,40
817,16,17,25,37,40
818,16,15,30,37,41
819,18,15,31,42,49
820,18,15,31,42,49
821,18,16,29,47,54
822,18,17,29,53,63
823,18,17,29,53,63
824,18,20,29,58,67
825,20,20,31,63,76
826,20,20,31,63,76
827,20,23,36,65,78
828,21,19,36,72,92
829,21,19,36,72,92
830,21,19,41,83,99
831,21,21,39,89,101
832,24,23,39,89,101
833,24,23,37,97,92
834,24,23,37,103,92
835,23,21,37,103,92
836,23,21,38,104,91
837,23,21,38,106,89
838,23,21,38,106,89
839,22,21,39,113,83
840,22,23,42,116,79
841,22,23,42,116,79
842,22,23,46,120,74
843,25,23,46,132,70
844,25,23,47,132,70
845,25,27,52,138,64
846,24,27,53,145,59
847,24,27,58,145,59
848,23,28,64,146,55
849,23,28,79,137,53
850,23,28,92,137,53
851,25,26,95,114,47
852,27,26,121,107,47
853,27,26,121,99,47
854,27,34,110,82,51
855,29,35,108,79,56
856,29,35,106,79,56
857,33,35,78,64,52
858,37,44,75,64,51
859,37,44,69,64,51
860,37,44,60,64,46
861,37,44,60,61,46
862,35,44,60,61,46
863,26,43,42,48,41
864,26,36,42,43,35
865,26,32,42,43,35
866,18,17,32,28,23
867,17,17,31,26,23
868,17,17,31,26,23
869,15,12,26,22,21
870,15,12,26,22,21
871,15,12,26,22,21
872,9,8,25,19,16
873,9,8,25,19,16
874,9,8,25,19,16
875,6,8,24,17,11
876,6,8,24,17,11
877,6,8,24,17,11
878,10,9,19,12,11
879,8,9,19,12,11
880,8,9,19,12,11
881,5,10,20,13,15
882,5,10,18,13,15
883,5,10,18,13,15
