delta0,delta1,delta2,delta3,delta4
13,16,19,18,17
13,16,19,18,17
13,16,19,18,17
18,15,18,19,20
18,15,18,19,20
19,15,18,19,20
16,15,17,17,18
16,15,17,17,18
16,15,17,17,18
13,18,20,23,24
13,18,20,23,24
13,18,20,23,24
16,19,16,23,25
16,19,16,23,25
16,19,16,23,25
13,18,22,21,24
13,18,22,21,24
13,18,22,21,24
20,22,24,28,30
20,22,24,28,30
20,22,24,28,30
21,31,30,37,36
21,31,30,37,36
21,31,30,37,36
25,33,45,45,41
25,33,45,45,41
25,33,45,45,41
30,42,61,65,52
30,42,64,65,52
30,42,64,65,52
32,45,97,87,63
32,45,97,87,63
32,45,98,90,63
32,34,93,121,63
32,34,88,121,63
32,34,80,123,63
32,34,72,138,73
32,34,72,138,73
32,34,66,138,73
33,27,55,150,104
33,27,47,150,114
33,27,47,109,124
35,29,44,104,124
35,29,44,75,112
22,7,43,60,71
22,7,32,38,46
22,7,32,38,46
22,7,32,38,44
22,12,29,26,27
18,12,29,26,27
18,12,29,26,27
15,10,23,19,18
15,10,23,19,18
15,10,23,19,18
16,8,24,16,16
16,8,24,16,16
16,8,24,16,16
17,15,18,17,17
17,15,18,17,17
17,15,18,17,17
