delta0,delta1,delta2,delta3,delta4
6,3,7,8,9
6,3,7,8,9
3,8,11,12,13
3,8,11,12,13
3,8,11,14,13
6,11,11,20,18
6,11,11,20,18
6,11,11,18,18
9,16,18,18,22
9,16,18,18,22
11,16,19,24,22
14,19,25,27,26
14,19,25,27,26
16,19,27,28,26
17,23,31,33,27
17,23,31,33,27
17,23,31,33,27
17,26,41,41,37
17,26,41,41,37
17,26,45,46,37
22,26,52,54,39
22,26,52,54,39
22,26,52,54,39
16,26,64,65,41
16,26,64,65,41
16,26,70,69,41
23,22,81,90,45
23,22,81,92,45
23,22,79,98,45
19,25,69,145,58
19,25,69,145,58
19,25,69,159,58
19,25,61,173,69
19,25,61,173,69
19,19,55,179,69
21,19,49,215,95
21,19,49,215,109
21,23,42,206,112
21,19,42,196,170
21,19,42,155,170
21,19,42,100,174
26,19,40,97,171
26,19,40,83,171
24,14,35,63,99
24,14,29,54,95
24,14,29,54,88
24,14,29,51,71
24,14,28,36,52
13,9,28,36,52
11,3,18,25,30
9,3,17,18,19
9,3,17,18,19
7,-1,14,10,7
0,-2,10,7,5
0,-2,10,7,5
0,-2,10,5,5
5,-1,9,4,3
