delta0,delta1,delta2,delta3,delta4
-5,-7,-2,0,0
-5,-7,-2,0,0
0,-4,4,8,3
0,-4,4,8,3
0,-4,4,8,3
-2,-1,11,18,13
-2,-1,11,18,13
-2,-1,11,21,13
5,0,13,28,38
5,0,13,28,38
5,0,13,28,38
8,5,15,39,59
8,5,15,39,59
8,5,15,39,59
8,6,19,53,69
8,6,19,53,69
8,9,19,53,69
7,3,17,71,69
7,3,17,71,69
7,3,17,71,69
5,1,24,95,56
5,1,24,95,56
5,1,24,99,56
7,5,31,108,42
7,5,31,108,42
7,5,32,108,42
7,5,34,108,30
7,5,34,108,30
7,5,34,108,30
7,1,51,96,18
7,1,52,96,18
7,1,53,91,18
8,6,69,81,15
8,6,69,81,15
8,6,78,73,15
11,17,85,65,14
11,17,85,65,14
11,17,85,65,14
11,17,83,52,15
10,17,83,52,15
10,18,71,52,15
10,26,65,38,21
10,26,50,38,21
10,26,38,32,21
10,27,19,21,6
10,27,19,21,6
4,6,19,14,6
3,1,11,2,-9
3,1,11,2,-9
1,1,9,2,-9
-4,-6,0,-1,-4
1,4,9,11,10
-1,1,9,7,5
-1,1,9,7,5
-1,1,9,7,5
-1,0,7,3,2
-1,0,7,3,2
