delta0,delta1,delta2,delta3,delta4
-5,-1,-1,-1,-2
-1,-2,-2,1,-1
-1,-3,-2,1,0
-1,-4,0,1,0
-1,-4,4,3,0
-1,-4,4,3,0
-1,2,4,3,0
1,2,6,4,1
1,2,6,4,1
1,-4,8,8,2
2,-4,8,9,7
2,3,7,9,7
2,3,7,14,7
1,2,7,14,12
1,2,10,14,14
1,2,10,21,18
4,5,15,21,22
4,4,16,22,32
4,4,16,26,32
8,4,18,31,40
8,4,16,39,43
8,4,16,39,48
8,7,16,46,51
7,7,18,49,56
8,7,20,58,59
7,7,20,61,59
8,7,22,65,64
6,7,23,70,64
8,7,23,76,62
8,7,24,79,56
8,7,26,89,55
8,10,29,96,54
9,10,35,101,50
12,18,35,107,50
12,18,35,109,49
12,18,38,109,48
12,18,39,109,47
12,8,42,112,33
12,8,53,112,33
11,9,56,112,30
11,11,65,105,27
13,11,85,104,27
13,11,87,96,27
13,13,89,77,28
16,13,93,69,32
18,21,93,66,32
18,21,78,53,25
18,21,76,51,25
18,21,69,51,25
18,24,48,44,24
13,31,43,39,23
13,31,31,36,23
11,9,24,14,12
8,8,22,13,11
8,7,22,11,11
2,1,12,6,1
2,1,10,6,1
2,1,10,6,1
-2,-4,5,3,3
-3,-5,2,3,2
-3,-6,2,3,2
-2,-6,1,1,-1
-2,-4,1,1,-1
