delta0,delta1,delta2,delta3,delta4
0,-2,3,5,-5
0,-4,3,3,0
-1,-5,3,3,0
-1,-5,5,3,0
-2,-2,0,1,-3
-1,-2,4,2,-3
-1,-2,4,2,-3
-1,1,4,7,-1
-2,1,2,7,-1
-2,1,2,7,-1
2,2,2,8,3
2,2,3,8,3
2,2,3,8,3
2,2,6,16,12
3,2,8,16,12
3,3,8,16,12
4,3,13,18,18
6,3,15,22,18
7,3,15,23,22
8,3,15,26,27
8,11,15,26,27
8,11,15,26,27
6,10,16,35,40
6,10,17,35,41
6,10,17,35,41
10,10,17,46,57
10,10,21,47,60
10,12,21,47,64
9,12,21,60,69
9,13,21,60,69
9,14,21,62,69
13,13,26,67,77
13,12,26,69,77
14,12,29,71,77
9,12,28,86,73
9,14,29,87,67
9,14,29,87,67
13,17,30,101,66
13,17,32,104,63
13,17,32,106,63
13,17,33,110,60
13,17,38,110,56
13,15,38,110,50
12,12,44,117,48
12,9,46,119,42
12,12,54,120,42
13,11,61,127,38
14,11,69,127,37
14,11,78,127,37
17,14,89,127,38
20,14,100,123,38
20,14,111,122,38
20,21,117,121,38
18,22,120,100,38
21,22,121,87,38
22,29,121,82,36
22,31,103,68,39
18,31,77,61,39
18,31,66,53,39
18,31,61,50,34
18,31,53,48,34
18,31,41,44,34
15,28,33,31,21
12,14,29,24,14
7,9,22,21,13
3,-2,18,12,3
3,-2,15,12,3
2,-4,14,6,3
2,-5,10,5,-1
1,-5,7,5,-1
