time,delta0,delta1,delta2,delta3,delta4
901,13,17,28,28,27
902,13,17,28,27,27
903,14,18,30,27,28
904,14,18,30,27,28
905,14,18,30,33,28
906,18,19,33,32,28
907,18,19,33,32,28
908,18,19,33,32,28
909,22,28,36,35,36
910,22,28,36,35,36
911,22,26,37,35,37
912,20,26,43,39,40
913,20,26,43,39,40
914,20,33,44,40,40
915,24,33,47,49,43
916,24,33,47,49,43
917,24,33,47,49,44
918,27,40,57,56,46
919,27,40,57,56,46
920,27,40,60,63,46
921,28,45,79,71,58
922,28,45,80,71,58
923,28,42,87,78,58
924,28,41,114,100,62
925,28,41,114,102,62
926,28,41,114,111,62
927,28,41,115,135,71
928,28,41,115,144,71
929,28,41,115,151,72
930,28,41,102,183,77
931,28,41,95,185,77
932,28,37,81,200,81
933,28,35,77,201,95
934,28,35,63,201,95
935,28,35,51,141,108
936,34,37,47,131,132
937,34,37,47,100,132
938,34,37,46,75,97
939,35,37,37,64,94
940,35,37,37,64,79
941,35,37,37,56,63
942,35,37,32,45,46
943,22,24,32,45,46
944,22,23,32,37,43
945,20,23,30,33,34
946,20,23,30,33,34
947,20,18,30,30,29
948,14,18,26,30,27
949,14,18,26,30,27
950,14,19,26,28,27
951,11,17,23,28,25
952,11,17,23,28,25
953,11,15,23,31,25
