time,delta0,delta1,delta2,delta3,delta4
870,8,5,3,5,6
871,4,5,3,5,6
872,4,5,3,5,6
873,4,5,9,10,8
874,6,5,9,10,8
875,6,5,9,10,8
876,6,4,12,12,8
877,6,4,12,12,8
878,6,4,12,12,8
879,5,2,12,10,7
880,5,2,13,10,7
881,5,2,13,10,7
882,11,6,9,14,14
883,8,6,9,14,14
884,8,6,9,14,14
885,8,10,11,18,21
886,10,10,11,18,21
887,10,10,11,18,21
888,10,6,16,19,18
889,10,6,16,19,18
890,10,6,16,19,18
891,11,9,18,22,24
892,11,9,18,22,24
893,11,9,18,22,24
894,13,12,18,32,33
895,15,12,18,32,33
896,15,12,18,32,33
897,15,16,23,44,50
898,17,16,23,44,53
899,17,16,23,44,53
900,21,15,24,56,71
901,21,15,24,57,71
902,21,15,24,57,71
903,21,19,25,64,82
904,21,19,25,64,82
905,21,19,25,64,82
906,21,19,26,75,89
907,21,20,26,79,89
908,21,20,26,79,89
909,22,20,28,85,88
910,22,18,28,85,88
911,22,18,28,85,88
912,22,18,32,94,78
913,21,19,33,94,78
914,21,19,33,94,78
915,21,18,34,95,70
916,22,18,34,95,70
917,22,18,34,95,70
918,23,21,35,105,64
919,23,21,35,108,64
920,23,21,35,108,64
921,23,21,36,107,57
922,23,21,40,107,57
923,23,18,40,107,57
924,24,12,46,109,47
925,26,12,46,109,47
926,26,12,46,109,47
927,25,16,52,107,44
928,25,16,55,107,44
929,25,16,60,107,44
930,25,17,64,99,43
931,25,17,70,99,43
932,25,17,70,99,43
933,24,19,76,92,38
934,24,19,81,92,38
935,24,19,81,92,38
936,26,21,82,78,40
937,26,21,84,78,40
938,26,21,84,78,40
939,26,21,88,73,40
940,27,21,87,73,40
941,27,21,87,73,40
942,27,21,87,65,44
943,27,21,87,65,44
944,27,21,87,65,44
945,28,27,81,63,45
946,28,30,81,63,45
947,28,30,81,63,45
948,27,30,66,60,44
949,27,30,66,60,44
950,27,30,66,60,44
951,26,33,47,51,39
952,26,33,47,51,39
953,26,33,47,51,39
954,19,20,28,31,25
955,18,18,28,29,25
956,18,18,28,29,25
957,10,5,18,11,5
958,10,5,17,11,5
959,10,5,17,11,5
960,10,4,11,8,3
961,8,4,9,8,3
962,8,4,9,8,3
963,6,3,9,6,4
