time,delta0,delta1,delta2,delta3,delta4
259,11,12,13,8,14
260,11,12,13,8,14
261,11,12,13,8,14
262,7,9,9,7,10
263,7,9,9,7,10
264,7,9,9,7,10
265,9,8,7,5,8
266,9,8,7,5,8
267,9,8,7,5,8
268,8,7,8,8,9
269,8,7,8,8,9
270,8,7,8,8,9
271,13,14,12,7,9
272,12,14,12,7,9
273,12,14,12,7,9
274,6,6,11,9,9
275,6,6,11,9,9
276,6,6,11,9,9
277,6,10,10,10,11
278,6,10,10,10,11
279,6,10,10,10,11
280,7,5,8,8,13
281,7,5,8,8,13
282,7,5,8,8,13
283,9,13,13,12,17
284,9,13,13,12,17
285,9,13,13,12,17
286,15,17,18,19,23
287,16,17,18,19,23
288,16,17,18,19,23
289,16,12,14,22,23
290,16,12,14,22,23
291,16,12,14,22,23
292,14,17,20,27,34
293,14,17,20,27,34
294,14,17,20,27,34
295,14,17,15,27,32
296,14,18,15,27,32
297,14,18,16,27,32
298,18,15,19,36,38
299,18,15,19,36,38
300,18,15,19,36,38
301,20,15,21,35,47
302,20,15,21,35,47
303,20,15,21,35,47
304,21,18,27,36,51
305,21,18,27,36,51
306,21,18,27,36,51
307,22,20,26,46,62
308,22,20,26,46,66
309,22,20,26,46,66
310,25,20,30,53,74
311,25,20,30,53,77
312,25,20,30,53,77
313,28,23,35,64,92
314,28,23,35,64,92
315,28,23,35,69,92
316,32,26,35,79,104
317,32,26,39,83,104
318,32,26,39,83,104
319,32,26,35,90,113
320,32,26,35,92,111
321,32,23,35,92,111
322,32,21,40,96,101
323,34,21,40,106,101
324,34,21,40,110,101
325,27,20,43,118,92
326,27,20,43,124,92
327,27,20,43,124,92
328,35,20,48,133,80
329,35,20,48,133,80
330,35,20,50,133,80
331,34,21,58,137,68
332,34,21,63,137,68
333,34,21,63,137,68
334,34,21,67,133,63
335,34,21,67,133,63
336,35,30,67,133,63
337,35,30,74,132,60
338,35,30,81,132,60
339,35,30,81,132,60
340,33,24,82,116,60
341,33,24,90,116,60
342,33,24,91,116,60
343,40,27,104,101,60
344,36,30,111,101,60
345,36,30,111,101,60
346,36,31,116,89,59
347,40,31,116,89,59
348,40,31,116,89,59
349,42,34,97,80,62
350,42,34,94,80,62
351,42,34,93,80,62
352,40,38,68,69,63
353,40,38,67,69,63
354,40,38,66,69,63
355,40,38,62,57,52
356,40,38,59,57,52
357,40,38,59,57,52
358,34,25,41,41,37
359,28,22,41,37,35
360,28,22,41,37,35
361,19,12,27,27,22
362,18,12,27,24,22
363,18,12,27,24,22
364,9,7,19,16,12
365,9,7,19,16,12
366,9,7,19,16,12
367,10,7,18,10,7
368,10,7,18,10,7
369,10,7,18,10,7
370,6,6,13,14,11
371,6,6,13,14,11
372,6,6,13,14,11
373,7,5,16,10,8
374,7,5,16,10,8
375,7,5,16,10,8
376,8,6,11,9,8
377,8,6,11,9,8
