time,delta0,delta1,delta2,delta3,delta4
493,11,11,15,10,11
494,13,11,15,10,11
495,13,11,15,10,11
496,8,5,13,6,9
497,8,5,13,6,9
498,8,5,13,6,9
499,11,14,14,10,13
500,11,14,14,10,13
501,11,14,14,10,13
502,10,8,8,13,17
503,10,8,8,13,17
504,10,8,8,13,17
505,11,9,12,11,15
506,11,9,12,11,15
507,11,9,12,11,15
508,12,11,12,11,14
509,12,11,12,11,14
510,12,11,12,11,14
511,16,13,15,14,18
512,18,13,15,14,18
513,18,13,15,14,18
514,11,13,16,21,21
515,11,13,16,22,21
516,11,13,16,22,21
517,16,17,19,19,28
518,17,17,21,19,28
519,17,17,21,19,28
520,17,15,21,32,35
521,17,15,21,32,35
522,17,15,21,32,35
523,21,18,23,32,36
524,21,20,23,32,36
525,21,20,23,32,36
526,17,19,21,37,47
527,17,19,21,37,47
528,17,19,21,37,47
529,21,18,26,45,54
530,21,18,26,45,54
531,21,18,26,45,54
532,25,20,27,52,66
533,25,20,27,53,69
534,25,20,27,53,69
535,27,17,31,59,79
536,27,17,31,59,82
537,27,17,31,59,82
538,28,23,32,69,96
539,28,23,32,69,97
540,28,23,32,69,97
541,33,25,36,75,106
542,33,25,36,75,106
543,33,25,36,75,106
544,33,25,36,81,106
545,33,25,36,81,106
546,33,25,36,81,106
547,27,20,37,86,110
548,27,20,37,87,110
549,27,20,37,87,110
550,27,19,39,98,106
551,27,19,39,101,106
552,27,19,39,101,106
553,30,19,40,111,100
554,30,19,40,115,100
555,30,19,40,115,100
556,33,23,47,125,82
557,35,23,47,126,82
558,35,23,47,126,82
559,30,18,52,137,78
560,30,18,52,138,77
561,30,18,52,138,77
562,30,21,57,135,66
563,30,21,57,135,66
564,30,21,57,135,66
565,30,21,62,133,64
566,30,21,62,133,64
567,39,26,62,133,64
568,39,26,72,129,59
569,39,26,72,129,59
570,39,26,72,129,59
571,34,23,80,121,57
572,34,23,89,121,57
573,34,23,89,121,57
574,32,26,96,107,52
575,32,26,99,107,52
576,32,26,99,107,52
577,34,29,108,108,60
578,34,29,123,107,60
579,34,29,123,107,60
580,40,33,124,90,59
581,41,33,119,90,59
582,41,33,119,90,59
583,40,37,94,73,52
584,40,37,85,72,52
585,40,37,85,72,52
586,40,37,72,63,53
587,40,37,68,63,53
588,41,41,68,63,57
589,41,41,60,61,57
590,34,33,49,49,46
591,34,32,45,49,46
592,34,26,45,49,46
593,29,22,36,40,33
594,27,19,36,36,33
595,24,19,31,36,33
596,22,18,30,22,21
597,22,16,30,22,21
598,22,15,30,22,21
599,14,12,25,15,20
600,14,12,25,15,20
601,14,12,25,15,20
602,16,15,19,18,19
603,13,15,19,18,19
