delta0,delta1,delta2,delta3,delta4
13,9,23,18,15
13,9,23,18,15
13,9,23,18,15
13,11,25,18,16
13,11,25,18,16
13,11,25,18,16
16,14,30,17,19
16,14,30,17,19
16,14,30,17,19
15,16,21,21,20
15,16,21,21,20
15,16,21,21,20
17,14,28,21,22
17,14,28,21,22
17,14,28,21,22
20,14,30,25,25
20,14,30,25,25
20,14,30,25,25
22,19,34,28,30
22,19,34,28,30
22,19,34,28,30
20,27,36,36,38
20,27,36,36,38
20,27,36,36,38
31,29,50,52,43
31,29,50,52,43
31,29,50,52,43
31,31,79,76,49
31,31,79,84,49
31,31,79,87,49
24,29,71,117,57
24,29,65,117,57
24,29,65,117,57
24,29,52,109,68
24,29,52,109,68
24,29,52,86,68
22,25,36,84,63
22,25,36,66,63
9,6,36,59,63
9,6,32,40,44
9,6,32,40,44
9,6,32,40,44
18,14,30,31,28
18,14,30,31,28
18,14,30,28,28
18,12,22,23,20
18,12,22,23,20
18,12,22,23,20
11,9,24,18,15
11,9,24,18,15
11,9,24,18,15
15,9,20,17,15
15,9,20,17,15
15,9,20,17,15
8,13,20,18,15
8,13,20,18,15
