time,delta0,delta1,delta2,delta3,delta4
436,9,13,21,18,14
437,9,13,21,18,14
438,9,13,21,18,14
439,13,13,23,15,15
440,13,13,23,15,15
441,13,13,23,15,15
442,12,17,21,20,22
443,12,17,21,20,22
444,12,17,21,20,22
445,13,10,20,17,15
446,13,10,20,17,15
447,13,10,20,17,15
448,14,16,30,24,23
449,14,16,30,24,23
450,14,16,30,24,23
451,21,17,36,26,29
452,21,17,36,26,29
453,21,17,36,26,29
454,21,23,42,34,35
455,21,23,42,34,35
456,21,23,42,34,35
457,23,26,51,44,39
458,23,26,51,44,39
459,23,26,51,44,39
460,25,29,76,68,43
461,25,29,76,68,43
462,25,29,76,68,43
463,25,27,77,108,49
464,25,27,77,108,49
465,25,27,77,115,49
466,25,27,71,139,60
467,25,27,71,139,60
468,25,27,59,123,60
469,21,21,42,102,63
470,21,21,42,88,63
471,21,21,42,70,63
472,30,28,33,51,53
473,30,28,33,51,53
474,30,28,33,51,53
475,30,28,31,37,44
476,23,16,31,37,44
477,23,16,31,36,39
478,18,9,23,25,21
479,24,25,36,35,39
480,25,22,30,30,32
481,25,22,30,30,32
482,19,22,30,27,29
483,19,22,32,24,26
484,19,22,32,24,26
485,20,22,31,23,26
486,19,19,30,23,27
487,19,19,30,23,27
