time,delta0,delta1,delta2,delta3,delta4
92,-3,0,3,-1,4
93,0,2,0,4,7
94,0,2,0,4,7
95,0,2,0,4,3
96,2,-3,1,2,3
97,2,-3,1,2,3
98,3,-3,1,2,5
99,3,0,3,2,6
100,3,0,3,2,6
101,4,0,3,2,6
102,2,1,6,4,6
103,2,1,6,4,6
104,2,1,4,6,8
105,5,3,4,8,11
106,5,3,4,8,11
107,6,5,7,8,11
108,6,5,10,15,15
109,6,5,10,15,15
110,7,9,12,15,18
111,7,9,17,20,22
112,7,9,17,20,22
113,7,17,18,21,22
114,11,17,20,24,23
115,11,17,20,24,23
116,19,17,20,24,23
117,15,21,26,35,34
118,15,21,26,35,34
119,15,29,33,39,34
120,22,28,33,42,35
121,22,28,33,42,35
122,22,28,39,42,35
123,26,30,41,50,39
124,26,30,41,50,39
125,26,30,43,50,39
126,21,36,54,53,45
127,21,36,54,53,45
128,21,36,59,56,45
129,26,39,74,65,53
130,26,39,74,65,53
131,26,36,76,72,54
132,31,36,95,78,55
133,31,36,95,78,55
134,31,32,101,79,55
135,35,32,127,91,57
136,35,32,127,91,57
137,35,32,130,91,57
138,35,32,141,98,56
139,24,31,141,98,56
140,24,28,143,106,56
141,29,24,158,135,61
142,29,24,158,158,61
143,29,24,156,164,62
144,25,26,145,227,66
145,25,26,140,270,66
146,25,25,105,296,66
147,23,25,100,393,86
148,23,25,88,393,86
149,23,26,64,357,92
150,30,26,60,353,120
151,30,26,60,348,120
152,30,26,57,337,131
153,30,26,51,316,159
154,30,26,51,316,159
155,30,26,51,280,162
156,30,26,50,266,174
157,30,20,50,254,174
158,28,20,43,193,185
159,28,22,42,191,232
160,28,22,42,174,301
161,30,24,42,112,325
162,30,30,42,103,325
163,30,30,42,96,222
164,22,18,34,57,89
165,22,18,34,50,78
166,22,18,34,49,71
167,22,18,20,30,41
168,22,18,19,26,31
169,15,7,19,26,31
170,11,0,15,15,14
171,5,0,14,15,13
172,5,0,14,15,13
173,1,-2,13,3,6
174,1,-2,4,3,6
175,1,-2,4,3,6
176,-1,1,2,3,2
177,-1,3,2,3,2
178,-1,3,2,3,2
179,5,-3,2,-2,5
180,-2,-3,4,-2,4
