delta0,delta1,delta2,delta3,delta4
-7,-3,1,-2,-3
-3,-3,0,0,-6
-3,-3,0,0,-6
-3,-4,0,0,-6
-2,-8,6,2,-6
-2,-8,3,2,-6
0,-4,3,2,-4
0,-4,3,4,-3
0,-4,6,4,-3
-1,-4,6,4,-3
-1,-3,1,3,4
-1,-3,1,3,4
-1,-3,5,6,4
-1,-2,6,11,9
-1,-2,7,11,9
2,-1,6,11,9
2,0,10,12,10
2,3,10,12,14
5,0,10,12,14
5,1,10,17,20
5,1,10,17,20
5,1,14,22,20
5,6,15,23,24
5,6,15,23,24
5,6,15,26,34
8,5,19,30,41
9,5,19,30,42
9,5,20,44,42
8,6,20,44,49
8,6,20,44,58
8,11,20,56,58
11,11,24,60,58
11,11,25,61,58
11,11,25,65,58
7,13,25,68,56
7,13,26,75,56
8,13,26,81,56
8,14,30,84,46
8,15,30,85,46
8,15,33,93,46
10,15,34,98,37
12,15,42,98,37
12,16,45,98,37
11,16,47,91,36
11,16,56,91,36
15,15,65,90,36
15,22,67,82,33
15,22,78,78,33
18,28,78,77,33
18,28,70,56,38
18,28,67,52,34
18,33,54,50,34
13,33,32,32,21
11,29,25,27,18
10,21,21,23,18
6,11,14,14,9
5,6,12,11,8
3,4,6,9,8
3,2,6,9,2
1,-2,5,6,1
1,-2,1,4,0
1,-2,1,4,-3
-2,-2,4,3,-4
-2,-5,4,3,-4
-2,-2,3,1,-6
-2,-5,3,1,-6
-5,-5,3,1,-6
-6,-5,2,1,-5
-6,0,2,1,-5
