delta0,delta1,delta2,delta3,delta4
0007,0007,0027,0035,0025
0010,0007,0027,0035,0025
0009,0007,0030,0047,0032
0009,0007,0030,0047,0032
0009,0007,0030,0047,0032
0008,0009,0032,0065,0035
0008,0009,0032,0065,0035
0008,0009,0032,0065,0035
0007,0011,0037,0087,0034
0007,0011,0037,0087,0034
0007,0011,0037,0087,0034
0011,0009,0035,0063,0034
0011,0009,0035,0063,0034
0008,0009,0030,0050,0034
0008,0005,0020,0024,0025
0008,0005,0020,0024,0025
0006,0005,0020,0024,0025
0001,0004,0014,0012,0015
0001,0004,0014,0012,0015
0001,0004,0014,0012,0015
0000,0002,0008,0005,0012
0000,0002,0008,0005,0012
0000,0002,0008,0005,0012
0004,-001,0013,0008,0009
0004,-001,0013,0008,0009
0004,-001,0013,0008,0009
0002,-001,0006,0002,0011
0002,-001,0006,0002,0011
0002,-001,0006,0002,0011
-001,-001,0002,0005,0011
