delta0,delta1,delta2,delta3,delta4
0008,0007,0026,0036,0026
0008,0007,0026,0036,0026
0008,0009,0027,0059,0038
0008,0009,0027,0059,0038
0008,0009,0027,0059,0038
0014,0008,0034,0095,0039
0014,0008,0034,0095,0039
0014,0008,0034,0095,0039
0014,0007,0037,0090,0035
0014,0007,0037,0090,0035
0012,0007,0033,0064,0035
0008,0005,0024,0041,0029
0008,0005,0024,0034,0029
0007,0005,0024,0034,0029
0004,0004,0014,0018,0019
0004,0004,0014,0018,0019
0004,0004,0014,0018,0019
0007,0001,0011,0012,0011
0007,0001,0011,0012,0011
0007,0001,0011,0012,0011
0005,0000,0010,0011,0009
0005,0000,0010,0011,0009
0005,0000,0010,0011,0009
0007,0001,0007,0004,0008
0007,0001,0007,0004,0008
0005,0001,0007,0004,0008
0003,0003,0011,0004,0007
0003,0003,0011,0004,0007
0003,0003,0011,0004,0007
0000,0000,0004,0004,0010
