delta0,delta1,delta2,delta3,delta4
0011,0008,0027,0035,0026
0011,0008,0027,0035,0026
0010,0012,0029,0053,0037
0010,0012,0029,0053,0037
0010,0012,0029,0057,0037
0014,0013,0034,0098,0040
0014,0013,0034,0098,0040
0014,0013,0034,0105,0040
0020,0019,0039,0143,0042
0020,0019,0039,0143,0042
0020,0019,0039,0143,0042
0020,0019,0037,0129,0033
0010,0010,0037,0129,0033
0010,0010,0037,0083,0033
0009,0006,0032,0083,0027
0009,0006,0032,0043,0027
-011,-016,0032,0034,0027
-011,-016,0025,0022,0013
-011,-016,0025,0022,0013
-011,-016,0025,0022,0013
0003,0002,0018,0010,0011
0003,0002,0018,0010,0011
0003,0002,0018,0010,0011
0002,0004,0013,0008,0003
0002,0004,0013,0008,0003
0002,0004,0013,0008,0003
0002,0002,0002,0000,0001
0002,0002,0002,0000,0001
0002,0002,0002,0000,0001
0004,0001,-003,0000,-001
