delta0,delta1,delta2,delta3,delta4
0010,0011,0026,0043,0031
0010,0011,0026,0043,0031
0012,0013,0034,0069,0036
0012,0013,0034,0069,0036
0012,0013,0034,0072,0036
0017,0015,0043,0119,0047
0017,0015,0043,0141,0047
0017,0015,0043,0143,0047
0017,0015,0044,0161,0046
0017,0015,0044,0161,0046
0017,0015,0044,0128,0046
0015,0008,0037,0114,0034
0015,0008,0037,0072,0034
0005,-006,0037,0057,0034
0005,-006,0034,0039,0028
0005,-006,0034,0039,0028
0005,-006,0034,0036,0028
0007,0002,0021,0022,0019
0007,0002,0021,0020,0019
0007,0002,0021,0020,0019
0008,0001,0022,0010,0014
0008,0001,0022,0010,0014
0008,0001,0022,0010,0014
0006,0000,0012,0009,0009
0006,0000,0012,0009,0009
0006,0000,0012,0009,0009
0005,0003,0015,0007,0008
0005,0003,0015,0007,0008
0005,0003,0015,0007,0008
0005,0003,0015,0010,0009
