delta0,delta1,delta2,delta3,delta4
0011,0004,0028,0033,0027
0011,0004,0028,0033,0027
0011,0010,0029,0039,0028
0011,0010,0029,0039,0028
0011,0010,0029,0039,0028
0012,0007,0034,0067,0034
0012,0007,0034,0067,0034
0012,0007,0037,0067,0034
0013,0009,0041,0116,0043
0013,0009,0041,0116,0043
0013,0009,0041,0118,0043
0013,0009,0034,0127,0043
0013,0009,0034,0127,0043
0013,0009,0034,0106,0043
0010,0005,0034,0097,0034
0010,0005,0034,0064,0034
0001,-007,0034,0053,0034
0001,-007,0030,0035,0024
0001,-007,0030,0035,0024
0001,-007,0030,0035,0024
0003,0006,0024,0019,0017
0003,0006,0024,0019,0017
0003,0006,0024,0019,0017
0006,-002,0023,0011,0010
0006,-002,0023,0011,0010
0006,-002,0022,0011,0010
0000,0003,0009,0007,0010
0000,0003,0009,0007,0010
0000,0003,0009,0007,0010
0002,0001,0007,0004,0010
