delta0,delta1,delta2,delta3,delta4
0013,0015,0028,0033,0033
0013,0015,0028,0033,0033
0014,0012,0033,0051,0034
0014,0012,0033,0052,0034
0014,0012,0033,0052,0034
0017,0015,0040,0089,0042
0017,0015,0040,0092,0042
0017,0015,0040,0093,0042
0018,0013,0043,0099,0042
0018,0013,0043,0099,0042
0018,0013,0043,0083,0042
0014,0014,0039,0071,0036
0014,0014,0037,0045,0036
0014,0014,0037,0038,0036
0010,0013,0023,0028,0024
0010,0013,0022,0024,0024
0010,0013,0022,0024,0024
0010,0007,0013,0015,0015
0010,0007,0013,0015,0015
0010,0007,0013,0015,0015
0009,0012,0012,0013,0016
0009,0012,0012,0013,0016
0009,0012,0012,0013,0016
0010,0008,0010,0014,0015
0010,0008,0010,0014,0015
0010,0008,0010,0014,0015
0008,0007,0010,0014,0013
0008,0007,0010,0014,0013
0008,0007,0010,0014,0013
0008,0008,0014,0008,0016
