delta1,delta2,delta3,delta4
0083,0128,0241,0199,
0092,0142,0284,0224,
0092,0142,0284,0224,
0085,0127,0246,0193,
0080,0121,0236,0187,
0080,0121,0236,0187,
0080,0121,0236,0187,
0082,0126,0242,0193,
0082,0126,0242,0193,
0084,0126,0251,0203,
0094,0139,0278,0223,
0094,0139,0278,0223,
0086,0132,0250,0201,
0083,0126,0239,0188,
0083,0126,0239,0188,
0083,0126,0239,0188,
0092,0144,0270,0221,
0092,0144,0299,0231,
0100,0159,0319,0252,
0101,0162,0319,0258,
0101,0162,0319,0258,
0093,0162,0319,0258,
0083,0162,0319,0258,
0083,0131,0252,0198,
0074,0115,0216,0174,
0071,0113,0211,0172,
0071,0113,0211,0172,
0071,0113,0211,0172,
0094,0136,0258,0210,
0094,0143,0281,0220,
