delta1,delta2,delta3,delta4
0059,0089,0159,0141,
0059,0089,0159,0141,
0063,0093,0176,0147,
0063,0102,0176,0149,
0063,0104,0200,0153,
0078,0134,0259,0205,
0078,0141,0271,0205,
0078,0143,0271,0209,
0078,0141,0271,0200,
0078,0124,0221,0178,
0071,0106,0190,0161,
0061,0106,0190,0151,
0061,0091,0160,0145,
0061,0091,0160,0145,
0063,0104,0182,0154,
0064,0105,0186,0157,
0064,0110,0201,0163,
0084,0140,0267,0212,
0084,0140,0279,0212,
0084,0143,0279,0209,
0071,0140,0269,0189,
0070,0120,0216,0175,
0064,0100,0183,0152,
0061,0091,0178,0133,
0061,0091,0152,0133,
0061,0091,0152,0133,
0071,0104,0187,0166,
0071,0115,0204,0179,
0076,0116,0251,0195,
0095,0162,0324,0257,
