delta1,delta2,delta3,delta4
0104,0164,0293,0240,
0104,0161,0278,0234,
0093,0155,0275,0220,
0093,0148,0261,0217,
0093,0147,0247,0207,
0099,0140,0237,0198,
0099,0140,0231,0198,
0099,0140,0231,0198,
0106,0142,0236,0214,
0109,0148,0243,0214,
0110,0153,0261,0223,
0137,0186,0324,0290,
0147,0208,0382,0329,
0156,0228,0441,0372,
0156,0228,0441,0372,
0154,0225,0429,0353,
0130,0191,0347,0283,
0118,0171,0299,0252,
0102,0149,0261,0217,
0100,0149,0259,0217,
0097,0151,0259,0217,
0100,0151,0264,0222,
0107,0151,0274,0231,
0121,0170,0303,0263,
0121,0170,0303,0263,
0119,0160,0277,0239,
0115,0157,0266,0238,
0104,0145,0241,0212,
0103,0145,0241,0208,
0102,0146,0244,0208,
