delta1,delta2,delta3,delta4
0050,0074,0121,0100,
0050,0074,0121,0100,
0050,0073,0118,0100,
0052,0063,0099,0088,
0052,0063,0099,0088,
0046,0063,0096,0086,
0037,0055,0088,0077,
0037,0055,0088,0077,
0037,0055,0088,0077,
0050,0067,0111,0093,
0050,0067,0111,0093,
0051,0068,0111,0093,
0059,0088,0153,0128,
0059,0088,0153,0128,
0059,0088,0153,0128,
0057,0083,0134,0113,
0064,0084,0134,0126,
0057,0083,0134,0113,
0054,0070,0117,0106,
0054,0070,0117,0106,
0050,0067,0114,0101,
0052,0072,0114,0101,
0052,0072,0114,0101,
0062,0085,0144,0128,
0062,0089,0145,0131,
0062,0089,0155,0133,
0077,0117,0196,0170,
0077,0117,0199,0170,
0077,0118,0206,0172,
0074,0116,0199,0159,
