delta1,delta2,delta3,delta4
0095,0172,0342,0257,
0095,0172,0342,0257,
0095,0172,0342,0257,
0083,0129,0260,0190,
0071,0129,0239,0188,
0068,0107,0194,0149,
0047,0094,0173,0123,
0047,0094,0173,0123,
0047,0094,0173,0123,
0047,0094,0173,0123,
0075,0120,0219,0186,
0075,0123,0237,0188,
0075,0127,0261,0196,
0098,0153,0318,0253,
0098,0163,0332,0254,
0098,0163,0332,0254,
0098,0163,0332,0254,
0098,0163,0332,0254,
0095,0149,0293,0226,
0079,0142,0285,0203,
0077,0128,0251,0192,
0077,0128,0234,0192,
0073,0118,0223,0179,
0073,0118,0219,0179,
0073,0118,0219,0179,
0079,0121,0222,0185,
0079,0121,0222,0185,
0079,0121,0222,0185,
0079,0130,0239,0200,
0079,0130,0248,0200,
