delta1,delta2,delta3,delta4
0097,0158,0312,0245,
0097,0158,0314,0245,
0097,0158,0326,0245,
0098,0171,0351,0245,
0098,0171,0351,0245,
0098,0170,0320,0239,
0089,0153,0315,0215,
0089,0149,0268,0215,
0082,0126,0207,0176,
0068,0116,0204,0158,
0068,0102,0174,0152,
0068,0102,0174,0152,
0063,0102,0174,0152,
0063,0102,0174,0152,
0063,0096,0151,0140,
0060,0088,0139,0129,
0060,0088,0139,0129,
0060,0088,0139,0129,
0073,0105,0171,0158,
0073,0105,0189,0158,
0077,0105,0192,0173,
0097,0148,0271,0234,
0099,0155,0309,0245,
0099,0155,0309,0245,
0099,0155,0309,0245,
0099,0155,0309,0245,
0099,0163,0346,0245,
0100,0166,0346,0241,
0100,0166,0321,0241,
0094,0166,0321,0241,
