delta1,delta2,delta3,delta4
0077,0115,0229,0180,
0092,0148,0289,0220,
0099,0167,0346,0266,
0101,0171,0392,0279,
0113,0203,0453,0326,
0113,0203,0453,0326,
0109,0203,0453,0326,
0101,0203,0453,0326,
0101,0179,0365,0271,
0072,0130,0270,0193,
0072,0119,0243,0181,
0071,0119,0243,0181,
0067,0119,0243,0181,
0063,0119,0243,0181,
0063,0110,0202,0154,
0063,0100,0195,0140,
0065,0100,0195,0140,
0065,0100,0196,0144,
0066,0111,0208,0165,
0078,0125,0247,0192,
0084,0144,0291,0230,
0093,0150,0314,0236,
0105,0182,0394,0297,
0105,0201,0412,0303,
0107,0201,0412,0303,
0105,0201,0412,0303,
0105,0201,0412,0303,
0078,0140,0295,0208,
0078,0137,0281,0199,
0071,0131,0242,0193,
