delta1,delta2,delta3,delta4
0075,0097,0187,0142,
0076,0115,0215,0170,
0091,0135,0272,0217,
0096,0150,0294,0228,
0106,0167,0351,0276,
0116,0190,0427,0338,
0118,0190,0427,0338,
0118,0190,0427,0338,
0118,0190,0427,0338,
0102,0177,0374,0278,
0101,0165,0329,0258,
0095,0148,0296,0228,
0075,0122,0235,0184,
0075,0114,0221,0175,
0075,0114,0221,0175,
0072,0114,0221,0175,
0071,0114,0221,0175,
0071,0113,0212,0167,
0071,0111,0210,0164,
0073,0111,0210,0164,
0085,0132,0256,0208,
0089,0139,0271,0208,
0103,0171,0339,0261,
0117,0195,0418,0330,
0119,0195,0418,0330,
0119,0195,0418,0330,
0119,0195,0418,0330,
0098,0177,0380,0280,
0098,0165,0329,0248,
0092,0148,0283,0227,
