delta1,delta2,delta3,delta4
0063,0095,0168,0135,
0052,0079,0149,0118,
0052,0079,0149,0118,
0052,0079,0149,0118,
0052,0079,0149,0118,
0067,0097,0167,0141,
0069,0097,0174,0146,
0070,0097,0185,0152,
0090,0131,0249,0208,
0094,0139,0280,0236,
0094,0139,0280,0236,
0094,0139,0280,0236,
0094,0139,0280,0236,
0094,0148,0299,0242,
0093,0148,0299,0242,
0082,0127,0247,0201,
0075,0114,0206,0166,
0072,0108,0193,0165,
0058,0094,0167,0144,
0056,0091,0156,0121,
0056,0091,0156,0121,
0056,0091,0156,0121,
0056,0091,0156,0121,
0071,0101,0179,0150,
0071,0105,0179,0154,
0071,0107,0188,0163,
0093,0134,0238,0212,
0093,0134,0242,0214,
0093,0134,0242,0214,
0093,0134,0242,0214,
