delta1,delta2,delta3,delta4
0080,0133,0254,0201,
0080,0133,0254,0201,
0085,0134,0254,0202,
0096,0148,0293,0228,
0096,0148,0293,0228,
0100,0148,0294,0241,
0089,0155,0308,0251,
0089,0155,0308,0251,
0089,0134,0281,0212,
0077,0127,0253,0190,
0077,0120,0236,0187,
0077,0120,0236,0187,
0080,0124,0239,0196,
0080,0124,0255,0196,
0084,0132,0256,0198,
0099,0155,0309,0236,
0099,0155,0309,0236,
0082,0129,0248,0190,
0077,0127,0247,0185,
0074,0122,0209,0168,
0061,0097,0190,0145,
0061,0097,0190,0145,
0061,0097,0190,0145,
0061,0097,0190,0145,
0061,0097,0190,0145,
0061,0102,0211,0155,
0072,0104,0214,0170,
0094,0143,0288,0233,
0105,0156,0326,0260,
0105,0156,0326,0260,
