delta1,delta2,delta3,delta4
0081,0137,0271,0204,
0081,0137,0271,0204,
0081,0137,0271,0204,
0076,0118,0223,0170,
0058,0107,0219,0157,
0056,0095,0184,0126,
0056,0095,0183,0126,
0050,0084,0159,0105,
0050,0084,0159,0105,
0050,0084,0159,0105,
0060,0099,0186,0133,
0063,0099,0191,0140,
0063,0103,0196,0141,
0086,0145,0279,0217,
0086,0145,0300,0225,
0086,0145,0300,0225,
0086,0145,0300,0225,
0086,0145,0300,0225,
0086,0147,0300,0218,
0084,0147,0290,0208,
0064,0118,0226,0159,
0063,0101,0191,0138,
0048,0089,0177,0117,
0048,0089,0165,0110,
0048,0089,0165,0110,
0048,0089,0165,0110,
0048,0089,0165,0110,
0048,0089,0165,0110,
0062,0103,0198,0147,
0065,0105,0200,0149,
