delta1,delta2,delta3,delta4
0133,0249,0555,0359,
0115,0206,0421,0298,
0082,0149,0300,0210,
0075,0129,0252,0195,
0075,0129,0239,0176,
0061,0129,0239,0176,
0061,0129,0239,0176,
0059,0129,0239,0176,
0058,0102,0191,0132,
0058,0102,0191,0132,
0064,0102,0197,0139,
0072,0113,0219,0161,
0073,0113,0224,0164,
0079,0130,0256,0186,
0079,0138,0265,0197,
0079,0138,0274,0197,
0082,0149,0292,0209,
0082,0149,0292,0209,
0082,0143,0277,0207,
0074,0136,0267,0193,
0066,0119,0231,0165,
0066,0116,0218,0162,
0061,0106,0195,0138,
0056,0094,0178,0132,
0052,0087,0178,0121,
0052,0087,0178,0121,
0052,0087,0178,0121,
0060,0097,0186,0132,
0074,0118,0233,0171,
0079,0121,0234,0176,
