delta1,delta2,delta3,delta4
0071,0102,0181,0152,
0082,0119,0218,0183,
0090,0135,0236,0204,
0091,0144,0264,0220,
0100,0145,0287,0242,
0100,0145,0287,0242,
0097,0145,0287,0242,
0092,0145,0268,0218,
0081,0126,0227,0187,
0077,0111,0197,0165,
0068,0107,0188,0165,
0068,0111,0192,0158,
0068,0114,0192,0158,
0087,0128,0232,0192,
0092,0139,0252,0215,
0093,0150,0283,0236,
0097,0150,0283,0236,
0097,0137,0266,0224,
0078,0122,0220,0176,
0078,0113,0199,0175,
0065,0101,0177,0145,
0065,0095,0169,0138,
0066,0095,0169,0138,
0066,0095,0169,0138,
0066,0095,0169,0138,
0066,0095,0169,0138,
0074,0110,0192,0162,
0076,0117,0209,0180,
0090,0134,0250,0212,
0093,0135,0250,0216,
