delta1,delta2,delta3,delta4
0067,0097,0165,0141,
0067,0097,0165,0141,
0067,0097,0165,0141,
0083,0119,0199,0174,
0083,0127,0220,0187,
0093,0142,0260,0217,
0106,0170,0311,0262,
0106,0175,0317,0265,
0106,0175,0317,0265,
0101,0175,0317,0265,
0100,0175,0317,0265,
0086,0140,0248,0198,
0080,0127,0217,0182,
0070,0107,0189,0156,
0070,0102,0164,0142,
0072,0102,0164,0142,
0072,0102,0164,0142,
0060,0102,0164,0142,
0060,0102,0164,0142,
0078,0114,0196,0168,
0080,0125,0215,0186,
0100,0158,0281,0238,
0105,0175,0311,0256,
0109,0175,0311,0256,
0113,0175,0311,0256,
0113,0175,0311,0256,
0104,0156,0305,0236,
0102,0154,0271,0231,
0089,0136,0239,0199,
0083,0125,0215,0184,
