delta1,delta2,delta3,delta4
0081,0120,0222,0182,
0081,0128,0263,0201,
0103,0170,0338,0281,
0103,0170,0338,0281,
0101,0154,0338,0259,
0090,0150,0316,0251,
0082,0132,0256,0205,
0077,0122,0234,0190,
0072,0122,0225,0176,
0072,0122,0224,0176,
0072,0122,0224,0176,
0079,0122,0224,0176,
0079,0122,0224,0176,
0079,0122,0226,0176,
0083,0128,0237,0196,
0083,0128,0237,0196,
0083,0128,0237,0196,
0082,0124,0225,0192,
0082,0124,0230,0192,
0082,0124,0230,0192,
0095,0150,0299,0243,
0111,0177,0384,0281,
0114,0204,0575,0348,
0141,0254,0837,0428,
0141,0254,0837,0428,
0102,0187,0465,0292,
0101,0165,0323,0247,
0080,0130,0235,0192,
0067,0103,0170,0147,
0063,0103,0170,0147,
