delta1,delta2,delta3,delta4
0114,0160,0338,0262,
0121,0160,0338,0262,
0129,0160,0338,0262,
0131,0216,0501,0365,
0131,0216,0501,0365,
0101,0185,0388,0271,
0093,0165,0328,0242,
0087,0155,0296,0224,
0067,0112,0229,0166,
0067,0109,0221,0160,
0067,0109,0221,0160,
0059,0109,0221,0160,
0059,0109,0221,0160,
0059,0109,0215,0160,
0068,0102,0203,0149,
0068,0102,0203,0149,
0075,0112,0224,0168,
0082,0134,0234,0183,
0082,0139,0265,0202,
0097,0162,0329,0255,
0102,0167,0350,0259,
0102,0188,0385,0281,
0102,0188,0385,0281,
0097,0188,0385,0281,
0097,0188,0385,0281,
0092,0172,0326,0250,
0069,0135,0254,0189,
0069,0129,0241,0178,
0068,0124,0231,0171,
0062,0107,0197,0145,
