delta1,delta2,delta3,delta4
00000,00001,-0001,-0002
-0002,00000,00001,00000
-0001,00001,-0001,-0002
-0002,-0001,-0001,00000
-0003,00000,00000,-0001
00000,-0002,-0001,-0001
-0003,-0001,00000,-0001
00001,00000,-0001,00000
00001,00000,00001,00001
00000,00001,-0001,-0001
00001,-0002,00001,-0001
00002,00001,-0002,00000
00008,00002,00001,00004
00019,00010,00003,00006
00032,00024,00013,00017
00037,00027,00013,00017
00039,00029,00013,00017
00033,00025,00013,00017
00028,00020,00013,00017
00023,00020,00013,00017
00023,00010,00013,00017
00015,00012,00051,00051
00013,00012,00025,00055
00012,00012,00019,00127
00012,00012,00019,00091
00012,00012,00019,00071
00011,00012,00019,00037
00010,00005,00009,00019
00007,00005,00005,00014
00007,00005,00005,00010
00007,00005,00005,00010
00007,00005,00005,00008
00007,00005,00005,00008
00007,00005,00005,00007
00002,00003,00002,00005
00006,00001,00002,00005
00001,00003,-0001,00002
00001,00002,00001,00002
00002,00002,-0001,00003
00001,00001,00000,00001
00002,00002,-0001,00001
00002,00000,00000,00001
00000,00000,00000,00002
00001,00002,-0001,00000
00000,-0001,-0001,00000
00002,00000,00001,-0001
00001,-0001,-0001,-0002
00000,00003,-0002,00001
00001,00001,00000,00000
00002,00003,-0001,00001
00001,-0001,-0001,00000
00002,00002,-0001,00001
00001,00002,-0002,00000
00001,00003,-0001,00001
00000,00001,-0002,00000
