delta1,delta2,delta3,delta4
00002,00000,00001,-0001
00001,00002,00002,00001
00001,00000,00001,-0001
00004,00003,00002,00001
00003,00000,00001,00000
00002,00000,00002,00001
00000,00001,00004,00002
00004,00000,00003,-0001
00002,00001,00003,-0001
00004,00002,00001,00000
00004,00002,00002,00000
00007,00001,00001,00001
00014,00003,00000,00001
00019,00006,00003,00005
00023,00007,00005,00014
00022,00007,00005,00014
00021,00007,00005,00014
00016,00007,00005,00014
00016,00010,00017,00018
00012,00010,00017,00017
00014,00010,00015,00017
00016,00011,00012,00018
00012,00006,00011,00018
00009,00007,00008,00013
00007,00007,00006,00009
00006,00005,00003,00008
00007,00005,00005,00006
00004,00003,00004,00005
00003,00003,00003,00003
00005,00000,00005,-0001
00004,00003,00004,00003
00003,00003,00003,00003
00004,00002,00001,00004
00003,00003,00003,00003
00003,00000,00002,00003
00003,00001,00004,00003
00002,00001,00003,00001
00002,00002,00002,00001
00002,00002,00002,00002
-0002,00002,00002,00003
00004,00003,00002,00003
00003,00002,00002,00002
00002,00002,00001,00001
00002,00003,00003,00001
00002,00004,00003,00000
00004,00001,00002,00000
00003,00002,00002,00001
00002,00001,00002,00001
00002,00002,00001,00002
00003,00001,00002,00001
00002,00001,00002,00000
00002,00001,00000,00001
00001,00000,00000,00000
00003,00001,00001,00001
00002,00002,00001,00001
