time,delta0,delta1,delta2,delta3,delta4
0,0035,0025,0049,0077,0076,
1,0036,0025,0049,0083,0082,
2,0040,0034,0058,0086,0069,
3,0040,0034,0058,0086,0069,
4,0040,0034,0056,0074,0065,
5,0019,0019,0035,0043,0032,
6,0019,0019,0030,0031,0032,
7,0019,0019,0030,0031,0032,
8,0009,0007,0011,0010,0015,
9,0009,0007,0011,0010,0015,
10,0009,0007,0011,0010,0015,
11,0002,0005,0004,0005,0006,
12,0002,0005,0004,0005,0006,
13,0002,0005,0004,0005,0006,
14,0002,-001,0010,0005,0007,
15,0002,-001,0010,0005,0007,
16,0002,-001,0010,0005,0007,
17,-001,0003,0003,0001,0004,
18,-001,0003,0003,0001,0004,
19,-001,0003,0003,0001,0004,
20,0005,0003,0005,0001,0005,
21,0005,0003,0005,0001,0005,
22,0005,0003,0005,0001,0005,
23,-001,0002,0007,-001,-001,
24,-001,0002,0007,-001,-001,
25,0000,0002,0007,0000,0000,
26,0006,0000,-002,0001,0004,
27,0006,0000,-002,0001,0004,
28,0006,0000,-002,0001,0004,
29,0001,0002,-001,0002,0003,
