time,delta0,delta1,delta2,delta3,delta4
0,0022,0025,0038,0069,0062,
1,0022,0025,0038,0069,0062,
2,0041,0032,0058,0087,0067,
3,0041,0032,0058,0087,0067,
4,0041,0032,0053,0064,0065,
5,0018,0016,0028,0035,0027,
6,0018,0016,0026,0035,0027,
7,0018,0016,0025,0035,0027,
8,0004,0003,0018,0012,0009,
9,0004,0003,0018,0012,0009,
10,0004,0003,0018,0012,0009,
11,0003,0001,0005,0004,0008,
12,0003,0001,0005,0004,0008,
13,0003,0001,0005,0004,0008,
14,-004,-001,0007,0006,0005,
15,-004,-001,0007,0006,0005,
16,-004,-001,0007,0006,0005,
17,-002,0000,0003,0003,-002,
18,-002,0000,0003,0003,-002,
19,-002,0000,0003,0003,-002,
20,0002,-002,0000,0003,0005,
21,0002,-002,0000,0003,0005,
22,0002,-002,0000,0003,0005,
23,0000,0005,-003,0000,0002,
24,0000,0005,-003,0000,0002,
25,0000,0005,-003,0000,0002,
26,-001,0001,0003,0004,0001,
27,-001,0001,0003,0004,0001,
28,-001,0001,0003,0004,0001,
29,0004,0001,0000,0002,0004,
