time,delta0,delta1,delta2,delta3,delta4
0,0026,0022,0048,0073,0063,
1,0026,0022,0048,0074,0063,
2,0053,0040,0073,0097,0079,
3,0053,0040,0073,0097,0079,
4,0052,0040,0060,0074,0075,
5,0035,0025,0048,0050,0044,
6,0021,0015,0028,0026,0033,
7,0020,0015,0028,0026,0033,
8,0010,0003,0008,0007,0012,
9,0010,0003,0008,0007,0012,
10,0010,0003,0008,0007,0012,
11,0002,0004,0003,0003,0005,
12,0002,0004,0003,0003,0005,
13,0002,0004,0003,0003,0005,
14,0002,0001,0003,0005,0003,
15,0002,0001,0003,0005,0003,
16,0002,0001,0003,0005,0003,
17,0009,0000,-001,0001,0006,
18,0009,0000,-001,0001,0006,
19,0009,0000,-001,0001,0006,
20,0000,0003,0005,0006,0003,
21,0000,0003,0005,0006,0003,
22,0000,0003,0005,0006,0003,
23,0003,0000,0001,0001,0007,
24,0003,0000,0001,0001,0007,
25,0003,0000,0001,0001,0007,
26,0000,0003,0005,0004,0003,
27,0000,0003,0005,0004,0003,
28,0000,0003,0005,0004,0003,
29,0002,0005,0000,0000,0002,
