time,delta0,delta1,delta2,delta3,delta4
0,0015,0010,0027,0038,0040,
1,0015,0010,0027,0042,0040,
2,0040,0031,0065,0096,0067,
3,0040,0031,0065,0096,0067,
4,0040,0031,0054,0073,0067,
5,0029,0021,0047,0055,0039,
6,0019,0021,0026,0031,0033,
7,0019,0021,0026,0031,0033,
8,0005,0008,0013,0007,0009,
9,0005,0008,0013,0007,0009,
10,0005,0008,0013,0007,0009,
11,0005,0003,0008,0007,0003,
12,0005,0003,0008,0007,0003,
13,0005,0003,0008,0007,0003,
14,0005,0001,0001,0000,0004,
15,0005,0001,0001,0000,0004,
16,0005,0001,0001,0000,0004,
17,-002,0004,0000,-001,0002,
18,-002,0004,0000,-001,0002,
19,-001,0004,0000,0000,0002,
20,-002,0004,-002,-001,0003,
21,-002,0004,-002,-001,0003,
22,-002,0004,-002,-001,0003,
23,0003,0004,0002,0001,-001,
24,0003,0004,0002,0001,-001,
25,0003,0004,0002,0001,-001,
26,0001,0001,0001,0003,0000,
27,0001,0001,0001,0003,0000,
28,0001,0001,0001,0003,0000,
29,-002,0000,0004,0004,0003,
