time,delta0,delta1,delta2,delta3,delta4
0,0011,0011,0031,0041,0041,
1,0011,0011,0031,0041,0041,
2,0026,0020,0045,0061,0046,
3,0026,0020,0045,0061,0046,
4,0026,0020,0045,0061,0046,
5,0015,0009,0025,0027,0030,
6,0015,0009,0025,0027,0030,
7,0015,0009,0025,0027,0030,
8,0001,0003,0010,0009,0012,
9,0001,0003,0010,0009,0012,
10,0001,0003,0010,0009,0012,
11,0001,-001,0005,0000,-001,
12,0001,-001,0005,0000,-001,
13,0001,-001,0005,0000,-001,
14,-002,0000,0004,-001,-001,
15,-002,0000,0004,-001,-001,
16,-002,0000,0004,-001,-001,
17,-003,-004,-004,-007,-001,
18,-003,-004,-004,-007,-001,
19,-003,-004,-004,-007,-001,
20,-004,-004,0001,-002,-004,
21,-004,-004,0001,-002,-004,
22,-004,-004,0001,-002,-004,
23,0000,-006,0002,-002,-004,
24,0000,-006,0002,-002,-004,
25,0000,-006,0002,-002,-004,
26,-003,-007,-002,-005,-003,
27,-003,-007,-002,-005,-003,
28,-003,-007,-002,-005,-003,
29,-003,-002,0001,-001,-004,
