time,delta0,delta1,delta2,delta3,delta4
700,-3,-8,4,0,-9
701,-3,-8,4,0,-9
702,-8,-7,-5,-6,-8
703,-8,-7,-5,-6,-8
704,-8,-7,-5,-6,-8
705,-3,-11,-3,-4,-11
706,-3,-11,-3,-4,-11
707,-3,-11,-3,-4,-11
708,-6,-11,-1,-2,-9
709,-6,-11,-1,-2,-9
710,-6,-11,-1,-2,-9
711,-5,-5,-5,-6,-9
712,-5,-5,-5,-6,-9
713,-5,-5,-5,-6,-9
714,-4,-9,3,0,-7
715,-4,-9,3,0,-7
716,-4,-9,3,0,-7
717,0,-1,-1,4,-1
718,0,-1,-1,4,-1
719,0,-1,-1,4,-1
720,2,-2,6,12,7
721,2,-2,6,12,7
722,2,-2,6,12,7
723,5,2,11,20,19
724,5,2,11,20,19
725,5,2,11,20,19
726,8,4,15,42,55
727,8,4,15,42,55
728,8,4,15,42,55
729,10,7,15,53,80
730,10,7,15,53,80
731,10,7,15,53,80
732,10,9,19,79,85
733,10,9,19,79,85
734,10,9,19,85,85
735,15,9,27,124,78
736,15,9,27,124,78
737,15,9,27,129,78
738,15,9,34,156,67
739,15,9,34,156,67
740,15,8,34,156,58
741,14,8,53,155,36
742,24,10,55,157,58
743,25,10,89,155,37
744,25,10,90,123,37
745,25,10,101,89,37
746,27,16,101,84,36
747,27,16,86,62,36
748,20,16,66,62,36
749,20,16,58,51,36
750,20,16,53,51,36
751,20,16,47,49,36
752,22,19,41,32,22
753,22,19,33,32,22
754,21,19,28,27,22
755,15,7,18,15,10
756,15,3,15,15,10
757,15,3,15,14,10
758,2,-3,11,2,-1
759,2,-3,11,2,-1
760,2,-3,11,2,-1
761,5,-4,3,3,-1
762,5,-5,3,3,-1
763,5,-5,3,3,-1
764,0,-6,5,1,-2
765,-1,-6,5,1,-2
766,-1,-6,5,1,-2
767,5,-3,0,2,0
