time,delta0,delta1,delta2,delta3,delta4
152,7,2,5,1,1
153,4,0,4,1,4
154,4,0,4,1,4
155,4,0,4,1,4
156,5,2,3,0,2
157,5,2,3,0,2
158,5,4,3,0,2
159,2,1,0,3,2
160,2,1,0,3,2
161,2,1,0,3,2
162,3,2,1,6,5
163,3,2,1,6,5
164,3,2,1,6,5
165,9,4,5,9,13
166,9,4,5,9,13
167,9,4,5,9,13
168,11,5,13,10,14
169,11,5,13,10,14
170,11,5,12,10,14
171,8,6,9,23,23
172,10,6,10,23,23
173,10,6,10,23,23
174,17,8,16,23,28
175,17,8,16,23,29
176,19,8,16,23,29
177,18,9,19,32,46
178,18,9,19,32,46
179,18,12,19,32,47
180,22,10,21,44,63
181,22,10,21,44,68
182,22,10,21,44,71
183,24,14,28,59,94
184,24,14,28,60,101
185,22,9,27,63,105
186,22,9,27,72,124
187,22,9,27,72,128
188,22,9,29,77,130
189,27,9,28,81,128
190,27,8,28,92,127
191,27,8,28,93,118
192,27,10,33,119,107
193,27,10,33,129,100
194,27,10,37,143,87
195,25,11,41,162,80
196,24,11,46,162,64
197,18,7,50,162,63
198,18,7,65,159,54
199,18,7,68,159,54
200,18,7,73,155,54
201,30,21,93,152,44
202,30,21,96,138,44
203,30,21,102,129,44
204,30,21,113,122,46
205,30,13,118,112,46
206,30,13,129,91,46
207,30,22,136,91,40
208,30,22,136,79,45
209,30,22,117,71,45
210,39,33,106,67,49
211,39,33,91,63,49
212,39,33,79,63,49
213,39,33,79,58,45
214,30,30,61,56,45
215,30,30,46,45,39
216,25,28,44,37,28
217,25,17,30,32,25
218,23,11,24,20,16
219,13,7,22,13,8
220,13,-3,13,11,7
221,13,-3,13,10,7
222,6,-4,12,4,2
223,6,-4,7,4,2
224,6,-4,7,4,2
225,5,-5,1,6,4
226,5,-5,-1,6,4
227,5,-5,-1,5,4
228,0,-3,7,0,-1
