time,delta0,delta1,delta2,delta3,delta4
299,5,-4,0,1,2
300,1,-4,2,4,0
301,1,-4,2,4,0
302,1,-4,2,4,0
303,0,-2,5,6,3
304,0,-2,5,6,3
305,0,-2,5,7,3
306,0,-4,5,4,2
307,0,-4,5,4,2
308,0,-4,5,4,2
309,2,-4,7,7,3
310,2,-4,7,7,3
311,2,-4,7,7,3
312,8,1,4,9,8
313,8,1,5,9,8
314,8,1,5,9,8
315,5,0,7,10,10
316,5,0,8,11,10
317,5,0,9,11,10
318,6,3,9,20,18
319,7,3,11,20,20
320,7,3,12,20,20
321,10,5,15,30,40
322,13,5,16,30,41
323,13,5,16,30,41
324,18,11,20,47,66
325,18,11,20,47,70
326,18,11,20,50,72
327,19,12,23,57,94
328,19,12,23,57,95
329,19,12,23,57,96
330,19,11,23,76,96
331,19,11,23,77,96
332,19,11,23,81,96
333,19,10,27,98,87
334,19,10,27,99,85
335,19,10,27,104,84
336,29,20,33,117,73
337,29,20,33,117,68
338,29,20,33,117,68
339,29,20,35,120,60
340,17,6,35,121,53
341,17,6,39,121,53
342,20,6,52,127,44
343,20,6,55,127,40
344,20,6,59,125,40
345,18,6,84,123,37
346,18,9,94,115,36
347,18,9,111,105,36
348,27,12,137,103,41
349,27,20,137,81,42
350,27,20,116,69,42
351,37,38,92,65,43
352,37,38,75,57,43
353,37,38,67,57,43
354,37,38,64,57,38
355,25,38,45,45,33
356,25,35,39,44,31
357,21,30,34,30,25
358,21,12,27,19,15
359,19,9,20,14,15
360,9,0,15,8,3
361,4,-9,12,2,1
362,4,-9,12,2,1
363,3,-4,5,3,2
364,3,-4,2,3,2
365,3,-4,2,3,2
366,1,-6,-3,-2,-1
367,1,-6,-3,-2,-1
368,1,-6,-3,-2,-1
369,-1,-8,-5,-2,-5
