time,delta0,delta1,delta2,delta3,delta4
44,-2,1,3,3,5
45,0,1,4,3,5
46,0,1,4,3,5
47,0,2,5,6,4
48,2,2,6,6,4
49,2,2,6,6,4
50,2,4,8,16,11
51,2,6,11,16,13
52,4,6,11,16,13
53,4,10,15,21,21
54,7,10,16,26,28
55,7,10,16,26,28
56,9,11,16,31,34
57,9,11,17,31,36
58,9,11,17,31,36
59,9,17,17,36,36
60,9,17,20,40,53
61,10,17,20,40,53
62,10,17,21,41,53
63,12,19,26,41,62
64,13,19,26,42,62
65,13,20,30,54,71
66,14,19,29,54,80
67,14,19,29,54,83
68,14,19,29,62,86
69,15,26,30,62,100
70,15,26,30,66,103
71,15,26,32,74,114
72,15,26,24,76,120
73,15,26,27,76,120
74,15,14,27,81,130
75,20,14,33,90,135
76,20,14,34,99,135
77,20,16,35,100,117
78,20,16,35,116,117
79,20,16,35,131,117
80,20,21,39,132,101
81,21,14,40,149,97
82,21,14,42,158,88
83,21,14,42,159,81
84,21,13,49,172,79
85,21,15,49,172,68
86,14,15,54,172,65
87,14,15,63,176,59
88,14,15,63,176,59
89,14,15,66,172,58
90,22,19,72,172,54
91,22,19,72,172,54
92,22,19,77,172,54
93,22,19,85,168,48
94,19,19,97,163,48
95,19,21,109,153,48
96,23,24,130,152,47
97,23,24,142,134,47
98,23,26,150,115,47
99,28,28,158,111,51
100,28,28,158,94,51
101,32,28,136,77,51
102,27,39,113,75,51
103,27,39,83,69,51
104,27,39,71,66,50
105,27,39,69,64,43
106,27,39,52,62,42
107,19,35,51,41,32
108,19,33,38,39,26
109,12,19,30,27,22
110,9,11,25,16,11
111,4,5,23,13,9
112,4,5,17,13,9
113,4,5,15,10,5
114,0,1,7,10,4
115,0,1,6,10,4
