time,delta0,delta1,delta2,delta3,delta4
64,9,12,20,15,19
65,9,12,20,15,19
66,9,12,20,15,19
67,7,6,19,18,20
68,7,6,19,18,20
69,7,6,19,18,20
70,10,6,16,25,19
71,10,6,16,25,19
72,10,6,16,25,19
73,9,9,18,28,20
74,9,9,18,29,20
75,12,9,18,29,20
76,12,9,18,30,22
77,12,9,18,30,22
78,12,9,18,30,22
79,14,16,24,35,32
80,14,16,24,35,32
81,14,16,24,35,32
82,14,12,23,35,36
83,14,12,23,37,36
84,14,12,23,37,36
85,13,16,30,39,51
86,13,16,30,51,53
87,18,16,30,51,53
88,25,19,30,51,67
89,25,19,30,58,67
90,25,19,30,58,67
91,23,19,31,61,82
92,23,19,31,62,82
93,26,19,31,62,82
94,26,21,35,69,93
95,26,21,35,69,93
96,26,21,35,69,93
97,25,18,32,78,100
98,25,18,32,79,100
99,25,18,32,79,100
100,21,16,31,86,100
101,21,16,31,90,100
102,34,27,32,90,100
103,34,27,36,94,99
104,34,25,36,96,99
105,26,19,36,104,99
106,23,17,36,106,100
107,23,17,36,111,100
108,23,17,36,111,100
109,23,17,37,120,93
110,25,19,37,127,93
111,29,19,44,127,93
112,29,22,46,135,84
113,29,22,46,142,84
114,28,22,47,147,84
115,27,21,59,153,70
116,27,21,59,156,70
117,27,21,61,156,70
118,32,28,73,154,66
119,32,28,78,152,66
120,32,28,87,152,66
121,29,24,89,133,65
122,29,24,101,128,63
123,31,24,107,126,63
124,34,30,113,110,61
125,34,33,118,107,61
126,34,33,118,101,61
127,38,36,121,87,65
128,38,36,117,87,65
129,38,36,116,87,65
130,37,44,90,75,64
131,36,45,83,75,64
132,36,45,78,75,64
133,36,45,59,62,56
134,36,45,59,62,56
135,36,45,51,62,56
136,28,35,42,46,40
137,28,35,40,43,37
138,28,29,38,43,37
139,16,16,29,29,20
140,16,16,29,26,20
141,11,16,29,26,20
142,10,9,21,15,17
143,10,9,21,15,17
144,10,9,21,15,17
145,11,5,17,10,9
146,11,5,17,10,9
147,11,5,17,10,9
148,11,13,15,14,11
149,11,13,15,13,11
150,11,13,15,13,11
