time,delta0,delta1,delta2,delta3,delta4
583,-9,-12,-1,-4,-9
584,-9,-12,-1,-4,-9
585,-1,-9,-2,-4,-2
586,-1,-9,-2,-4,-2
587,-1,-9,-2,-4,-2
588,1,-10,-1,-4,-2
589,1,-10,-1,-4,-2
590,1,-10,-1,-4,-2
591,2,-5,3,7,9
592,2,-5,3,7,9
593,2,-5,3,7,9
594,4,1,11,24,27
595,4,1,11,24,27
596,4,1,11,24,27
597,12,1,11,35,58
598,12,1,11,35,58
599,12,1,11,35,58
600,12,3,17,55,75
601,12,3,17,56,75
602,12,3,17,56,75
603,10,7,16,73,86
604,10,7,16,77,86
605,10,7,16,77,86
606,10,7,21,101,72
607,10,7,21,101,70
608,10,7,21,101,70
609,10,7,29,118,63
610,10,7,29,118,63
611,10,7,29,118,60
612,16,4,36,129,39
613,16,4,36,129,39
614,16,4,36,129,39
615,16,3,67,112,20
616,16,3,68,109,20
617,16,3,73,102,20
618,15,10,98,79,22
619,15,10,98,70,22
620,3,-4,86,66,22
621,3,-4,76,54,22
622,3,-4,76,54,22
623,3,-4,66,54,22
624,21,22,55,35,17
625,21,22,37,35,17
626,21,22,35,26,17
627,12,13,21,15,7
628,12,11,19,15,7
629,12,6,19,13,7
630,3,-4,8,0,-4
631,3,-4,8,0,-4
632,3,-4,7,0,-4
633,-3,-2,0,1,-7
634,-3,-2,0,1,-7
