time,delta0,delta1,delta2,delta3,delta4
675,4,3,10,6,5
676,2,3,6,6,5
677,2,3,4,6,5
678,2,5,4,8,5
679,6,5,11,8,5
680,6,5,11,8,5
681,6,4,6,8,10
682,2,4,6,8,10
683,2,4,6,8,10
684,2,5,4,8,8
685,9,5,4,8,8
686,9,5,4,8,8
687,4,10,10,5,4
688,3,9,10,5,4
689,3,9,10,5,4
690,3,1,5,10,9
691,1,1,5,10,9
692,1,-1,5,10,9
693,1,1,6,9,7
694,7,1,6,9,7
695,7,1,6,9,7
696,7,7,9,7,9
697,8,7,9,7,9
698,8,7,9,7,9
699,5,3,5,7,7
700,5,3,5,7,7
701,5,3,5,7,7
702,9,3,8,13,15
703,6,3,8,14,15
704,6,3,8,14,15
705,6,4,11,15,16
706,12,4,12,19,16
707,12,4,12,19,16
708,11,12,14,17,18
709,11,12,16,17,18
710,11,12,16,17,18
711,15,14,17,28,31
712,17,14,17,32,36
713,17,14,17,32,36
714,19,19,27,43,53
715,19,18,25,43,53
716,19,18,25,45,57
717,19,17,25,57,66
718,21,17,26,57,76
719,21,17,27,57,81
720,24,22,33,65,93
721,26,20,29,66,106
722,26,20,29,66,106
723,26,20,29,75,119
724,26,20,27,79,119
725,26,20,27,79,119
726,26,17,27,79,125
727,29,17,34,87,130
728,29,17,34,90,130
729,31,16,36,95,114
730,25,16,36,103,114
731,25,16,36,103,114
732,25,16,36,113,98
733,24,16,37,118,97
734,24,16,37,118,97
735,24,13,39,125,75
736,29,13,39,125,75
737,29,13,39,126,75
738,29,13,41,135,69
739,29,13,44,135,69
740,26,18,46,135,69
741,26,18,46,136,64
742,26,18,46,136,64
743,26,18,44,136,64
744,26,16,50,144,56
745,24,16,52,144,56
746,24,16,60,144,56
747,24,19,64,143,53
748,27,21,73,138,53
749,27,21,90,138,53
750,22,19,90,124,44
751,22,19,98,119,44
752,22,22,104,111,44
753,27,22,107,89,44
754,29,22,111,89,44
755,29,20,111,89,44
756,28,23,98,65,39
757,28,23,88,65,39
758,28,23,83,63,39
759,28,23,68,55,44
760,28,23,68,55,42
761,28,23,60,55,42
762,20,23,43,32,24
763,20,19,35,31,24
764,20,18,29,28,24
765,11,8,21,14,13
766,11,8,21,14,13
767,11,8,21,14,13
768,9,2,16,12,10
769,9,2,13,12,10
770,9,2,13,12,10
771,9,1,12,11,2
772,8,1,12,11,2
773,8,1,12,11,2
774,1,2,15,8,7
775,1,2,13,8,7
