time,delta0,delta1,delta2,delta3,delta4
653,3,-4,8,8,4
654,3,-4,8,8,4
655,-2,-1,6,10,8
656,-2,-1,6,10,8
657,-2,-1,6,10,8
658,1,0,9,7,8
659,1,0,9,7,8
660,1,0,9,7,8
661,7,1,11,13,10
662,7,1,11,13,10
663,7,1,11,13,10
664,4,2,12,19,24
665,4,2,12,19,24
666,4,2,12,19,24
667,6,8,17,31,39
668,6,8,17,31,39
669,6,8,17,31,39
670,6,7,18,42,57
671,6,7,18,42,57
672,6,7,18,42,57
673,9,6,20,54,68
674,9,6,20,54,68
675,9,6,20,54,68
676,11,8,25,69,69
677,11,8,25,69,69
678,11,8,25,69,69
679,9,8,24,82,73
680,9,8,25,84,73
681,9,8,25,84,73
682,13,10,33,109,69
683,13,10,33,109,69
684,13,10,33,109,69
685,13,10,29,111,60
686,13,10,31,111,60
687,13,10,31,111,60
688,14,7,44,123,41
689,14,7,44,123,41
690,14,7,44,123,41
691,12,9,52,118,36
692,12,9,59,118,36
693,12,9,59,118,36
694,11,5,80,109,35
695,11,5,80,109,35
696,11,5,80,109,35
697,13,15,109,97,27
698,13,15,110,89,27
699,13,15,110,82,27
700,16,22,110,69,34
701,16,22,101,59,34
702,16,22,91,59,34
703,16,22,79,52,29
704,16,22,76,52,29
705,16,22,58,52,29
706,16,33,49,34,21
707,16,33,38,27,21
708,16,29,37,27,21
709,5,6,21,12,10
710,5,6,21,12,10
711,5,6,21,12,10
712,0,-3,15,7,-1
713,0,-3,15,7,-1
714,0,-3,15,7,-1
715,-5,-3,8,-1,-3
