time,delta0,delta1,delta2,delta3,delta4
435,-3,-3,-2,-4,-4
436,-4,-3,-4,-4,-4
437,-4,-3,-4,-4,-4
438,-6,-6,-5,-5,-4
439,-6,-7,-2,-4,-4
440,-6,-7,-2,-4,-4
441,-2,-7,1,-4,-6
442,-2,-8,1,-5,-6
443,-2,-8,1,-5,-6
444,-5,-8,-6,-5,-4
445,1,-8,-7,-5,-4
446,1,-8,-7,-5,-4
447,1,-8,0,-3,-6
448,-5,-10,0,-3,-6
449,-5,-10,0,-3,-6
450,1,-10,1,-1,-5
451,1,-8,1,-1,-5
452,1,-8,1,-1,-5
453,2,-8,2,-1,0
454,2,-5,2,-1,0
455,2,-5,2,-1,0
456,-1,-5,4,4,-2
457,1,-7,4,4,-2
458,1,-7,4,4,-2
459,1,-5,0,5,9
460,0,-5,5,6,9
461,0,-5,5,6,9
462,0,-5,5,8,16
463,3,-5,2,10,16
464,3,-5,2,10,16
465,3,-1,6,17,21
466,7,-1,8,17,21
467,7,-1,8,17,21
468,7,2,11,24,35
469,10,2,11,26,38
470,10,2,11,26,38
471,11,7,16,41,57
472,11,7,16,47,59
473,11,7,16,47,59
474,11,6,18,64,78
475,11,9,18,64,78
476,11,9,18,70,78
477,15,9,24,88,79
478,15,7,26,94,79
479,15,7,26,105,74
480,23,16,29,108,65
481,23,16,30,108,59
482,23,16,30,108,58
483,23,16,39,108,42
484,19,1,42,108,32
485,19,1,45,108,32
486,11,3,60,104,26
487,11,3,70,82,26
488,11,3,72,74,26
489,25,17,74,67,23
490,25,17,74,53,23
491,25,17,74,53,23
492,25,17,73,44,22
493,16,13,60,41,22
494,16,13,42,41,22
495,9,15,42,33,21
496,9,15,29,22,21
497,9,15,26,22,20
498,7,7,16,10,6
499,3,-2,15,6,6
500,3,-2,14,6,6
501,-1,-4,7,-1,-2
502,-3,-4,5,-1,-2
503,-3,-4,5,-1,-2
504,-5,-4,-2,-2,-1
505,-5,-4,-2,-2,-1
