time,delta0,delta1,delta2,delta3,delta4
635,-3,-2,0,1,-7
636,-3,-9,-4,0,-8
637,-3,-9,-4,0,-8
638,-3,-9,-4,0,-8
639,-4,-7,-4,-4,-9
640,-4,-7,-4,-4,-9
641,-4,-7,-4,-4,-9
642,-4,-11,-5,-3,-6
643,-4,-11,-5,-3,-6
644,-4,-11,-5,-3,-6
645,1,-8,-5,-4,-8
646,1,-8,-5,-4,-8
647,1,-8,-5,-4,-8
648,-6,-6,1,1,-3
649,-6,-6,1,1,-3
650,-6,-6,1,1,-3
651,2,-8,-3,3,5
652,2,-8,-3,3,5
653,2,-8,-3,3,5
654,-1,-6,2,9,3
655,-1,-6,2,9,3
656,-1,-6,2,9,3
657,5,-2,5,17,12
658,5,-2,5,17,12
659,5,-2,5,17,12
660,7,7,7,23,34
661,7,7,7,23,34
662,7,7,7,23,34
663,6,3,17,50,64
664,6,3,17,50,64
665,6,3,17,51,64
666,14,4,14,66,82
667,14,4,14,66,82
668,14,4,14,66,82
669,15,5,22,91,86
670,15,5,22,91,86
671,15,5,22,94,86
672,18,7,24,117,71
673,18,7,24,117,71
674,18,7,24,117,71
675,18,7,32,126,60
676,18,7,32,126,60
677,18,7,32,126,48
678,10,7,41,124,30
679,10,7,41,124,30
680,10,7,49,112,30
681,13,8,79,99,20
682,13,8,79,91,20
683,13,8,81,73,20
684,29,14,85,60,24
685,29,14,85,56,24
686,29,14,81,54,24
687,29,14,70,46,23
688,19,14,56,46,23
689,19,22,38,44,23
690,20,16,33,26,11
691,20,16,30,26,11
692,20,14,26,23,11
693,7,4,12,6,-1
694,7,4,12,6,-1
695,7,4,11,6,-1
696,4,-5,0,2,-1
697,4,-5,0,2,-1
698,4,-5,0,2,-1
699,-3,-8,4,0,-9
