time,delta0,delta1,delta2,delta3,delta4
704,13,13,17,16,17
705,10,15,17,16,17
706,10,15,17,16,17
707,10,11,22,16,19
708,14,11,21,16,19
709,14,11,21,16,19
710,14,8,21,13,18
711,12,8,23,13,18
712,12,8,23,13,18
713,12,16,21,17,20
714,16,15,21,18,22
715,16,15,21,18,22
716,21,14,26,24,23
717,20,14,25,24,23
718,20,14,25,25,23
719,20,17,25,28,27
720,21,16,28,31,36
721,21,16,28,31,36
722,22,15,32,31,36
723,27,15,32,37,49
724,27,15,32,38,49
725,30,20,33,44,54
726,33,21,33,53,63
727,33,21,33,53,67
728,35,25,37,61,75
729,35,25,37,66,86
730,35,25,37,69,99
731,36,19,42,72,100
732,36,19,40,75,113
733,36,19,41,75,113
734,36,19,41,82,113
735,36,19,44,83,113
736,36,19,44,84,113
737,34,25,44,87,118
738,34,24,44,102,118
739,34,24,44,109,118
740,37,24,45,111,108
741,37,24,45,125,100
742,37,24,45,136,100
743,37,25,50,137,88
744,38,25,60,147,88
745,38,25,60,155,83
746,37,28,61,156,73
747,37,28,75,163,73
748,37,28,79,163,70
749,37,28,80,157,70
750,37,28,92,156,68
751,35,30,100,145,68
752,35,30,102,136,64
753,35,30,110,134,64
754,35,30,117,129,64
755,35,30,118,119,64
756,38,35,126,112,66
757,39,35,126,105,66
758,40,35,119,89,67
759,43,35,113,88,67
760,43,36,108,81,67
761,43,40,89,70,63
762,43,41,79,70,63
763,43,41,73,68,63
764,43,41,64,61,54
765,43,41,60,59,51
766,43,37,56,59,51
767,34,25,41,43,39
768,32,25,40,40,35
769,27,22,40,38,35
770,22,20,29,30,27
771,22,16,28,23,24
772,22,16,24,23,24
773,15,10,22,17,21
774,14,10,21,17,20
775,14,10,21,17,20
776,14,12,21,16,18
777,16,12,20,16,18
778,16,12,20,16,18
779,12,14,20,15,16
780,12,9,20,14,16
781,12,9,20,14,16
