time,delta0,delta1,delta2,delta3,delta4
768,5,-3,0,2,0
769,5,-3,0,2,0
770,0,1,4,4,4
771,0,1,4,4,4
772,0,1,4,4,4
773,6,-2,1,5,4
774,6,-2,1,5,4
775,6,-2,1,5,4
776,9,-1,0,8,9
777,9,-1,0,8,9
778,9,-1,0,8,9
779,9,1,5,13,12
780,9,1,5,13,12
781,9,1,5,13,12
782,11,4,6,21,23
783,11,4,7,21,23
784,11,4,7,21,23
785,11,9,13,37,42
786,11,9,13,37,42
787,11,9,13,37,42
788,19,9,19,45,60
789,19,9,19,45,60
790,19,9,19,45,60
791,19,11,19,61,86
792,19,11,19,61,86
793,19,11,19,61,86
794,19,9,27,85,90
795,19,9,27,85,90
796,19,9,27,88,90
797,19,12,27,115,81
798,19,12,27,115,76
799,19,12,27,117,76
800,19,12,35,123,59
801,19,12,38,123,59
802,19,12,38,123,57
803,23,7,60,117,36
804,23,8,62,111,35
805,23,8,64,104,35
806,20,11,91,101,26
807,20,14,91,81,26
808,20,14,91,68,26
809,33,29,85,63,30
810,33,29,70,55,30
811,33,29,70,55,30
812,33,29,64,46,32
813,30,20,54,42,32
814,30,20,49,42,32
815,20,20,38,29,16
816,19,16,27,29,13
817,19,16,27,26,13
818,12,8,19,11,5
819,12,-3,16,8,5
820,12,-3,16,8,5
821,3,-5,7,4,3
822,3,-5,7,4,3
823,3,-5,7,4,3
824,0,-3,1,5,-6
825,0,-3,0,5,-6
