time,delta0,delta1,delta2,delta3,delta4
0,19,12,16,29,37
1,19,12,16,29,39
2,19,12,16,29,40
3,24,15,22,50,64
4,24,15,22,50,67
5,24,18,22,51,68
6,25,18,26,60,83
7,26,18,26,60,88
8,26,18,28,60,89
9,30,19,32,68,107
10,30,19,32,72,119
11,30,19,33,73,120
12,30,19,32,80,137
13,30,19,32,85,137
14,30,19,32,85,141
15,33,19,37,113,175
16,33,19,37,134,175
17,35,21,37,160,166
18,33,17,44,195,155
19,31,17,46,222,134
20,31,17,48,240,104
21,34,20,67,240,94
22,34,20,77,230,79
23,34,20,87,213,74
24,37,20,125,204,66
25,37,20,137,191,66
26,37,20,139,174,66
27,37,20,159,165,62
28,34,24,160,141,62
29,34,24,160,122,62
30,34,24,159,119,61
31,34,24,152,102,61
32,34,24,140,91,61
33,36,25,130,91,59
34,36,25,102,85,59
35,35,31,73,67,55
36,35,31,57,65,46
37,35,31,43,56,43
38,35,31,43,54,43
39,35,31,42,47,35
40,19,18,31,47,31
41,19,13,31,32,29
42,16,11,26,29,20
43,5,0,19,18,11
44,5,0,15,13,10
45,5,-1,9,10,7
46,3,-3,8,10,6
47,3,-3,5,5,6
48,3,1,5,5,2
49,1,1,0,5,2
