time,delta0,delta1,delta2,delta3,delta4
291,4,1,5,7,3
292,4,1,5,7,3
293,0,5,6,7,3
294,0,5,6,7,3
295,0,5,6,7,3
296,4,2,11,10,6
297,4,2,11,10,6
298,4,2,11,10,6
299,6,6,8,12,14
300,6,6,8,12,14
301,6,6,8,12,14
302,10,7,5,10,14
303,10,7,5,10,14
304,10,7,5,10,14
305,8,7,14,15,17
306,8,7,14,15,17
307,8,7,14,15,17
308,15,10,13,19,21
309,15,10,13,19,21
310,15,10,13,19,21
311,20,13,13,27,29
312,20,13,13,27,29
313,20,13,13,27,29
314,18,14,23,39,48
315,18,14,23,39,48
316,18,14,23,39,48
317,21,18,27,54,72
318,21,18,27,54,72
319,21,18,27,54,72
320,25,18,26,62,89
321,25,18,26,62,89
322,25,18,26,62,89
323,28,18,30,73,110
324,28,18,30,73,110
325,28,18,30,73,110
326,28,18,32,81,120
327,28,18,32,81,120
328,28,18,32,81,120
329,31,16,31,101,123
330,31,16,31,101,123
331,31,16,31,101,123
332,26,18,38,129,127
333,35,25,49,134,129
334,34,25,47,154,127
335,34,25,47,154,124
336,34,28,47,160,108
337,38,24,49,173,101
338,38,24,49,173,100
339,38,24,49,173,89
340,38,23,59,173,78
341,38,23,59,173,78
342,39,23,59,173,78
343,36,25,71,173,72
344,36,30,71,173,72
345,36,30,73,173,68
346,36,30,76,173,68
347,36,30,78,173,68
348,31,16,80,169,67
349,31,16,92,168,66
350,31,16,92,168,66
351,31,16,99,168,66
352,33,26,108,161,61
353,33,26,109,161,61
354,33,26,110,161,61
355,38,33,126,164,67
356,38,33,129,164,67
357,38,33,131,158,62
358,38,33,154,152,62
359,38,33,171,152,62
360,38,32,174,138,66
361,41,32,198,128,67
362,41,32,204,121,67
363,41,36,204,106,69
364,44,37,195,102,74
365,44,40,160,98,74
366,44,49,114,76,67
367,42,51,81,75,67
368,42,65,65,72,67
369,42,65,56,60,57
370,42,65,48,60,55
371,42,65,48,59,55
372,31,34,33,41,33
373,30,29,33,37,29
374,22,15,28,33,24
375,20,12,23,22,19
376,18,12,21,14,19
377,18,12,21,14,19
378,13,11,16,14,18
379,13,7,14,15,10
380,13,7,14,15,10
381,13,7,14,13,10
382,14,10,16,12,14
383,14,10,16,9,14
384,14,8,14,9,14
385,12,8,14,13,12
386,12,8,14,13,12
387,12,8,16,12,9
388,10,9,15,11,8
389,9,9,15,11,8
