time,delta0,delta1,delta2,delta3,delta4
872,10,6,20,13,13
873,10,6,20,13,13
874,10,6,20,13,13
875,10,9,18,14,15
876,11,12,18,19,15
877,11,12,18,19,15
878,14,8,19,13,14
879,14,8,19,13,14
880,14,9,19,13,14
881,13,10,20,16,18
882,13,13,20,22,18
883,13,13,20,22,18
884,18,13,22,18,21
885,18,13,23,18,21
886,18,13,23,22,21
887,18,16,23,23,28
888,21,16,26,23,28
889,21,16,26,23,28
890,19,13,26,32,31
891,19,13,26,32,31
892,19,13,26,32,31
893,21,17,31,32,38
894,26,17,32,39,48
895,26,17,32,39,48
896,26,17,32,52,57
897,27,17,32,53,64
898,26,18,32,60,75
899,27,21,37,61,75
900,34,23,37,67,95
901,34,23,37,69,97
902,34,23,39,76,103
903,35,23,39,79,113
904,35,23,39,79,113
905,35,23,42,86,113
906,35,23,42,89,121
907,34,23,42,96,121
908,33,21,45,97,121
909,33,21,46,112,119
910,33,21,46,124,119
911,34,21,46,128,105
912,34,21,48,153,105
913,34,21,50,161,100
914,32,25,52,167,84
915,32,25,58,170,78
916,32,25,68,170,75
917,30,20,70,164,68
918,30,20,76,159,68
919,30,20,80,157,68
920,30,20,82,142,61
921,32,25,99,140,61
922,32,25,99,137,61
923,32,25,105,119,61
924,32,25,105,118,61
925,32,25,105,112,61
926,40,31,96,92,57
927,38,31,96,87,57
928,38,31,94,79,57
929,37,31,69,64,50
930,37,36,67,64,50
931,37,36,66,64,50
932,37,36,55,58,48
933,37,36,54,58,48
934,37,32,53,58,48
935,32,29,42,42,37
936,32,24,39,38,37
937,32,24,38,38,37
938,25,23,32,30,29
939,25,18,32,28,25
940,25,18,29,28,25
941,15,15,28,22,22
942,15,14,27,20,20
943,14,14,27,20,20
944,19,12,20,14,12
945,12,12,20,14,12
946,12,12,20,14,12
947,11,15,19,15,11
